Player,Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
Djokovic,15‑Jan‑2024,Australian Open,Hard,SF,1,4,(4)Jannik Sinner [ITA] d. (1)Djokovic,6-1 6-2 6-7(6) 6-3,(ch),0.64,6.00%,3.40%,68.10%,67.10%,45.90%,6/11,3:22
Djokovic,15‑Jan‑2024,Australian Open,Hard,QF,1,12,(1)Djokovic d. (12)Taylor Fritz [USA],7-6(3) 4-6 6-2 6-3,(ch),1.54,17.40%,2.60%,62.60%,81.90%,58.10%,4/6,3:45
Djokovic,15‑Jan‑2024,Australian Open,Hard,R16,1,19,(1)Djokovic d. (20)Adrian Mannarino [FRA],6-0 6-0 6-3,(ch),2.31,24.60%,7.20%,69.60%,81.30%,61.90%,3/3,1:44
Djokovic,15‑Jan‑2024,Australian Open,Hard,R32,1,32,(1)Djokovic d. (30)Tomas Martin Etcheverry [ARG],6-3 6-3 7-6(2),,1.72,11.90%,0.00%,67.90%,86.00%,59.30%,0/0,2:28
Djokovic,15‑Jan‑2024,Australian Open,Hard,R64,1,43,(1)Djokovic d. Alexei Popyrin [AUS],6-3 4-6 7-6(4) 6-3,,1.24,9.20%,0.00%,61.30%,82.20%,58.70%,5/7,3:11
Djokovic,15‑Jan‑2024,Australian Open,Hard,R128,1,187,(1)Djokovic d. (Q)Dino Prizmic [CRO],6-2 6-7(5) 6-3 6-4,(ch),1.28,8.50%,0.80%,59.70%,66.20%,61.50%,5/9,4:01
Djokovic,28‑Aug‑2023,US Open,Hard,F,2,3,(2)Djokovic d. (3)Daniil Medvedev [RUS],6-3 7-6(5) 6-3,(ch),1.3,3.70%,5.50%,54.10%,81.40%,54.00%,2/3,3:17
Djokovic,28‑Aug‑2023,US Open,Hard,SF,2,47,(2)Djokovic d. Ben Shelton [USA],6-3 6-2 7-6(4),(ch),1.36,5.10%,3.00%,67.70%,83.60%,34.40%,4/6,2:41
Djokovic,28‑Aug‑2023,US Open,Hard,QF,2,9,(2)Djokovic d. (9)Taylor Fritz [USA],6-1 6-4 6-4,(ch),1.3,7.40%,5.30%,60.60%,68.40%,56.80%,10/12,2:35
Djokovic,28‑Aug‑2023,US Open,Hard,R16,2,105,(2)Djokovic d. (Q)Borna Gojo [CRO],6-2 7-5 6-4,,1.85,15.80%,3.90%,67.10%,88.20%,52.00%,0/1,2:26
Djokovic,28‑Aug‑2023,US Open,Hard,R32,2,38,(2)Djokovic d. (32)Laslo Djere [SRB],4-6 4-6 6-1 6-1 6-3,(ch),1.34,9.40%,3.10%,65.40%,77.10%,54.50%,8/11,3:45
Djokovic,28‑Aug‑2023,US Open,Hard,R64,2,76,(2)Djokovic d. Bernabe Zapata Miralles [ESP],6-4 6-1 6-1,(ch),1.95,6.90%,0.00%,58.30%,76.20%,73.30%,6/6,2:00
Djokovic,28‑Aug‑2023,US Open,Hard,R128,2,84,(2)Djokovic d. Alexandre Muller [FRA],6-0 6-2 6-3,(ch),1.82,10.00%,8.30%,53.30%,84.40%,57.10%,0/1,1:35
Djokovic,3‑Jul‑2023,Wimbledon,Grass,F,2,1,(1)Carlos Alcaraz [ESP] d. (2)Djokovic,1-6 7-6(6) 6-1 3-6 6-4,(ch),0.93,1.10%,1.60%,64.10%,61.90%,56.10%,14/19,4:43
Djokovic,3‑Jul‑2023,Wimbledon,Grass,SF,2,8,(2)Djokovic d. (8)Jannik Sinner [ITA],6-3 6-4 7-6(4),(ch),1.03,9.80%,0.00%,58.00%,75.40%,59.60%,6/6,2:47
Djokovic,3‑Jul‑2023,Wimbledon,Grass,QF,2,7,(2)Djokovic d. (7)Andrey Rublev [RUS],4-6 6-1 6-4 6-3,,1.34,4.40%,0.90%,62.30%,74.60%,65.10%,7/8,2:48
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R16,2,18,(2)Djokovic d. (17)Hubert Hurkacz [POL],7-6(6) 7-6(6) 5-7 6-4,(ch),1.46,14.40%,2.40%,71.20%,88.80%,61.10%,1/2,3:07
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R32,2,88,(2)Djokovic d. Stan Wawrinka [SUI],6-3 6-1 7-6(5),,2.01,14.70%,1.30%,64.00%,89.60%,63.00%,0/0,2:07
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R64,2,70,(2)Djokovic d. Jordan Thompson [AUS],6-3 7-6(4) 7-5,,1.69,8.50%,0.00%,69.10%,87.70%,65.50%,0/0,2:28
Djokovic,3‑Jul‑2023,Wimbledon,Grass,R128,2,68,(2)Djokovic d. Pedro Cachin [ARG],6-3 6-3 7-6(4),,1.45,14.40%,3.30%,63.30%,77.20%,60.60%,2/3,2:12
Djokovic,29‑May‑2023,Roland Garros,Clay,F,3,4,(3)Djokovic d. (4)Casper Ruud [NOR],7-6(1) 6-3 7-5,(ch),1.6,10.90%,1.00%,73.30%,79.70%,63.00%,3/4,3:14
Djokovic,29‑May‑2023,Roland Garros,Clay,SF,3,1,(3)Djokovic d. (1)Carlos Alcaraz [ESP],6-3 5-7 6-1 6-1,(ch),1.29,6.40%,2.40%,70.40%,71.60%,43.20%,10/12,3:24
Djokovic,29‑May‑2023,Roland Garros,Clay,QF,3,11,(3)Djokovic d. (11)Karen Khachanov [RUS],4-6 7-6(0) 6-2 6-4,(ch),1.34,8.30%,3.80%,59.10%,76.90%,59.30%,8/10,3:39
Djokovic,29‑May‑2023,Roland Garros,Clay,R16,3,94,(3)Djokovic d. Juan Pablo Varillas [PER],6-3 6-2 6-2,(ch),1.94,10.00%,4.30%,80.00%,83.90%,35.70%,2/3,1:57
Djokovic,29‑May‑2023,Roland Garros,Clay,R32,3,34,(3)Djokovic d. (29)Alejandro Davidovich Fokina [ESP],7-6(4) 7-6(5) 6-2,(ch),1.14,0.90%,5.30%,64.90%,64.90%,40.00%,3/8,3:36
Djokovic,29‑May‑2023,Roland Garros,Clay,R64,3,83,(3)Djokovic d. Marton Fucsovics [HUN],7-6(2) 6-0 6-3,(ch),1.33,2.00%,3.00%,64.60%,60.90%,60.00%,9/12,2:44
Djokovic,29‑May‑2023,Roland Garros,Clay,R128,3,114,(3)Djokovic d. Aleksandar Kovacevic [USA],6-3 6-2 7-6(1),,1.74,12.30%,1.20%,55.60%,82.20%,63.90%,3/5,2:27
Djokovic,16‑Jan‑2023,Australian Open,Hard,F,5,4,(4)Djokovic d. (3)Stefanos Tsitsipas [GRE],6-3 7-6(4) 7-6(5),(ch),1.4,7.00%,3.00%,66.00%,81.80%,61.80%,2/3,2:56
Djokovic,16‑Jan‑2023,Australian Open,Hard,SF,5,35,(4)Djokovic d. Tommy Paul [USA],7-5 6-1 6-2,(ch),1.54,13.20%,5.50%,58.20%,75.50%,55.30%,7/9,2:20
Djokovic,16‑Jan‑2023,Australian Open,Hard,QF,5,6,(4)Djokovic d. (5)Andrey Rublev [RUS],6-1 6-2 6-4,(ch),1.56,15.90%,5.70%,63.60%,80.40%,50.00%,5/5,2:03
Djokovic,16‑Jan‑2023,Australian Open,Hard,R16,5,24,(4)Djokovic d. (22)Alex De Minaur [AUS],6-2 6-1 6-2,(ch),1.83,5.90%,4.40%,64.70%,75.00%,66.70%,0/0,2:06
Djokovic,16‑Jan‑2023,Australian Open,Hard,R32,5,28,(4)Djokovic d. (27)Grigor Dimitrov [BUL],7-6(7) 6-3 6-4,(ch),1.24,9.80%,1.80%,72.30%,74.10%,41.90%,5/8,3:07
Djokovic,16‑Jan‑2023,Australian Open,Hard,R64,5,191,(4)Djokovic d. (Q)Enzo Couacaud [FRA],6-1 6-7(5) 6-2 6-0,(ch),1.81,8.50%,5.70%,60.40%,84.40%,57.10%,1/1,3:04
Djokovic,16‑Jan‑2023,Australian Open,Hard,R128,5,75,(4)Djokovic d. Roberto Carballes Baena [ESP],6-3 6-4 6-0,(ch),2.27,12.90%,1.40%,64.30%,86.70%,64.00%,3/3,2:02
Djokovic,27‑Jun‑2022,Wimbledon,Grass,F,3,40,(1)Djokovic d. Nick Kyrgios [AUS],4-6 6-3 6-4 7-6(3),(ch),1.36,12.60%,5.90%,63.00%,82.70%,61.40%,5/6,3:01
Djokovic,27‑Jun‑2022,Wimbledon,Grass,SF,3,12,(1)Djokovic d. (9)Cameron Norrie [GBR],2-6 6-3 6-2 6-4,(ch),1.61,14.80%,1.10%,64.80%,82.50%,58.10%,1/4,2:35
Djokovic,27‑Jun‑2022,Wimbledon,Grass,QF,3,13,(1)Djokovic d. (10)Jannik Sinner [ITA],5-7 2-6 6-3 6-2 6-2,(ch),1.27,6.30%,3.90%,66.40%,82.40%,41.90%,5/9,3:35
Djokovic,27‑Jun‑2022,Wimbledon,Grass,R16,3,104,(1)Djokovic d. Tim Van Rijthoven [NED],6-2 4-6 6-1 6-2,(ch),1.68,7.20%,2.10%,62.90%,75.40%,69.40%,3/4,2:38
Djokovic,27‑Jun‑2022,Wimbledon,Grass,R32,3,30,(1)Djokovic d. (25)Miomir Kecmanovic [SRB],6-0 6-3 6-4,,1.98,8.80%,5.90%,50.00%,88.20%,61.80%,3/4,1:53
Djokovic,27‑Jun‑2022,Wimbledon,Grass,R64,3,79,(1)Djokovic d. Thanasi Kokkinakis [AUS],6-1 6-4 6-2,,1.93,1.40%,4.20%,70.80%,82.40%,61.90%,1/1,2:00
Djokovic,27‑Jun‑2022,Wimbledon,Grass,R128,3,81,(1)Djokovic d. Soon Woo Kwon [KOR],6-3 3-6 6-3 6-4,,1.29,14.40%,1.90%,60.60%,85.70%,48.80%,4/6,2:27
Djokovic,23‑May‑2022,Roland Garros,Clay,QF,1,5,(5)Rafael Nadal [ESP] d. (1)Djokovic,6-2 4-6 6-2 7-6(4),(ch),0.85,3.60%,2.90%,69.30%,63.90%,41.90%,10/17,4:12
Djokovic,23‑May‑2022,Roland Garros,Clay,R16,1,16,(1)Djokovic d. (15)Diego Schwartzman [ARG],6-1 6-3 6-3,,1.57,3.60%,1.20%,69.90%,72.40%,56.00%,7/8,
Djokovic,23‑May‑2022,Roland Garros,Clay,R32,1,195,(1)Djokovic d. Aljaz Bedene [SLO],6-3 6-3 6-2,,2.45,13.60%,1.50%,72.70%,85.40%,72.20%,1/1,
Djokovic,23‑May‑2022,Roland Garros,Clay,R64,1,38,(1)Djokovic d. Alex Molcan [SVK],6-2 6-3 7-6(4),,1.66,11.20%,0.00%,74.20%,78.80%,60.90%,1/2,
Djokovic,23‑May‑2022,Roland Garros,Clay,R128,1,99,(1)Djokovic d. Yoshihito Nishioka [JPN],6-3 6-1 6-0,,1.58,10.50%,0.00%,69.80%,73.30%,42.30%,5/6,
Djokovic,30‑Aug‑2021,US Open,Hard,F,1,2,(2)Daniil Medvedev [RUS] d. (1)Djokovic,6-4 6-4 6-4,(ch),0.76,6.50%,3.30%,54.30%,80.00%,40.50%,4/8,2:16
Djokovic,30‑Aug‑2021,US Open,Hard,SF,1,4,(1)Djokovic d. (4)Alexander Zverev [GER],4-6 6-2 6-4 4-6 6-2,(ch),1,8.00%,1.30%,66.00%,76.80%,43.10%,9/12,3:34
Djokovic,30‑Aug‑2021,US Open,Hard,QF,1,8,(1)Djokovic d. (6)Matteo Berrettini [ITA],5-7 6-2 6-2 6-3,(ch),1.5,10.30%,3.40%,61.50%,73.60%,66.70%,4/5,3:27
Djokovic,30‑Aug‑2021,US Open,Hard,R16,1,99,(1)Djokovic d. (WC)Jenson Brooksby [USA],1-6 6-3 6-2 6-2,(ch),1.29,8.60%,1.00%,62.90%,72.70%,53.80%,8/11,2:59
Djokovic,30‑Aug‑2021,US Open,Hard,R32,1,56,(1)Djokovic d. Kei Nishikori [JPN],6-7(4) 6-3 6-3 6-2,(ch),1.32,11.50%,5.30%,62.60%,76.80%,51.00%,11/13,3:32
Djokovic,30‑Aug‑2021,US Open,Hard,R64,1,121,(1)Djokovic d. Tallon Griekspoor [NED],6-2 6-3 6-2,(ch),1.76,18.10%,6.90%,63.90%,80.40%,53.80%,3/4,1:39
Djokovic,30‑Aug‑2021,US Open,Hard,R128,1,145,(1)Djokovic d. (Q)Holger Rune [DEN],6-1 6-7(5) 6-2 6-1,,1.58,17.50%,7.20%,63.90%,85.50%,48.60%,1/3,2:15
Djokovic,28‑Jun‑2021,Wimbledon,Grass,F,1,9,(1)Djokovic d. (7)Matteo Berrettini [ITA],6-7(4) 6-4 6-4 6-3,(ch),1.27,4.10%,3.30%,61.50%,78.70%,53.20%,5/7,3:24
Djokovic,28‑Jun‑2021,Wimbledon,Grass,SF,1,12,(1)Djokovic d. (10)Denis Shapovalov [CAN],7-6(3) 7-5 7-5,(ch),1.17,7.10%,4.50%,60.70%,80.90%,56.80%,10/11,2:44
Djokovic,28‑Jun‑2021,Wimbledon,Grass,QF,1,48,(1)Djokovic d. Marton Fucsovics [HUN],6-3 6-4 6-4,(ch),1.4,4.30%,3.20%,65.60%,82.00%,43.80%,5/6,2:17
Djokovic,28‑Jun‑2021,Wimbledon,Grass,R16,1,20,(1)Djokovic d. (17)Cristian Garin [CHI],6-2 6-4 6-2,,2.49,13.40%,1.50%,58.20%,92.30%,64.30%,2/2,1:49
Djokovic,28‑Jun‑2021,Wimbledon,Grass,R32,1,114,(1)Djokovic d. (Q)Denis Kudla [USA],6-4 6-3 7-6(7),,1.35,8.70%,6.50%,54.30%,88.00%,50.00%,2/4,2:17
Djokovic,28‑Jun‑2021,Wimbledon,Grass,R64,1,102,(1)Djokovic d. Kevin Anderson [RSA],6-3 6-3 6-3,,2.12,12.50%,1.40%,63.90%,84.80%,69.20%,0/0,1:41
Djokovic,28‑Jun‑2021,Wimbledon,Grass,R128,1,253,(1)Djokovic d. (WC)Jack Draper [GBR],4-6 6-1 6-2 6-2,,2.51,30.90%,1.20%,77.80%,87.30%,66.70%,2/3,2:00
Djokovic,31‑May‑2021,Roland Garros,Clay,F,1,5,(1)Djokovic d. (5)Stefanos Tsitsipas [GRE],6-7(6) 2-6 6-3 6-2 6-4,(ch),1.32,3.70%,2.20%,67.90%,78.00%,53.50%,5/8,4:11
Djokovic,31‑May‑2021,Roland Garros,Clay,SF,1,3,(1)Djokovic d. (3)Rafael Nadal [ESP],3-6 6-3 7-6(4) 6-2,(ch),1.17,4.50%,2.30%,63.90%,64.70%,50.00%,10/16,4:11
Djokovic,31‑May‑2021,Roland Garros,Clay,QF,1,9,(1)Djokovic d. (9)Matteo Berrettini [ITA],6-3 6-2 6-7(5) 7-5,(ch),1.47,7.60%,0.80%,69.70%,77.20%,65.00%,3/3,3:28
Djokovic,31‑May‑2021,Roland Garros,Clay,R16,1,76,(1)Djokovic d. Lorenzo Musetti [ITA],6-7(7) 6-7(2) 6-1 6-0 4-0 RET,,1.57,8.30%,1.50%,70.50%,75.30%,53.80%,2/4,3:27
Djokovic,31‑May‑2021,Roland Garros,Clay,R32,1,93,(1)Djokovic d. Ricardas Berankis [LTU],6-1 6-4 6-1,,1.94,7.50%,4.50%,62.70%,88.10%,52.00%,0/0,1:32
Djokovic,31‑May‑2021,Roland Garros,Clay,R64,1,92,(1)Djokovic d. Pablo Cuevas [URU],6-3 6-2 6-4,,1.45,10.60%,3.20%,68.10%,75.00%,56.70%,8/9,2:06
Djokovic,31‑May‑2021,Roland Garros,Clay,R128,1,66,(1)Djokovic d. Tennys Sandgren [USA],6-2 6-4 6-2,,1.9,5.50%,2.70%,67.10%,85.70%,54.20%,6/6,1:58
Djokovic,8‑Feb‑2021,Australian Open,Hard,F,1,4,(1)Djokovic d. (4)Daniil Medvedev [RUS],7-5 6-2 6-2,(ch),1.38,3.80%,2.60%,66.70%,73.10%,57.70%,2/4,1:53
Djokovic,8‑Feb‑2021,Australian Open,Hard,SF,1,114,(1)Djokovic d. (Q)Aslan Karatsev [RUS],6-3 6-4 6-2,(ch),1.56,21.00%,2.50%,67.90%,70.90%,61.50%,3/5,1:53
Djokovic,8‑Feb‑2021,Australian Open,Hard,QF,1,7,(1)Djokovic d. (6)Alexander Zverev [GER],6-7(6) 6-2 6-4 7-6(6),(ch),0.99,14.20%,3.10%,73.50%,72.30%,44.20%,9/12,3:30
Djokovic,8‑Feb‑2021,Australian Open,Hard,R16,1,14,(1)Djokovic d. (14)Milos Raonic [CAN],7-6(4) 4-6 6-1 6-4,(ch),1.24,8.30%,2.50%,67.80%,78.00%,59.00%,2/3,2:56
Djokovic,8‑Feb‑2021,Australian Open,Hard,R32,1,31,(1)Djokovic d. (27)Taylor Fritz [USA],7-6(1) 6-4 3-6 4-6 6-2,,1,9.40%,3.10%,66.00%,75.20%,50.00%,9/12,3:25
Djokovic,8‑Feb‑2021,Australian Open,Hard,R64,1,64,(1)Djokovic d. Frances Tiafoe [USA],6-3 6-7(3) 7-6(2) 6-3,(ch),1.46,21.70%,4.20%,61.70%,83.80%,58.70%,1/3,3:30
Djokovic,8‑Feb‑2021,Australian Open,Hard,R128,1,61,(1)Djokovic d. Jeremy Chardy [FRA],6-3 6-1 6-2,,3.17,15.80%,1.80%,75.40%,86.00%,78.60%,0/0,1:31
Djokovic,28‑Sep‑2020,Roland Garros,Clay,F,1,2,(1)Rafael Nadal [ESP] d. (2)Djokovic,6-0 6-2 7-5,,0.66,1.00%,4.00%,66.70%,50.00%,48.50%,11/18,2:41
Djokovic,28‑Sep‑2020,Roland Garros,Clay,SF,1,6,(1)Djokovic d. (5)Stefanos Tsitsipas [GRE],6-3 6-2 5-7 4-6 6-1,,1.23,3.30%,3.90%,66.70%,72.50%,47.10%,11/15,3:54
Djokovic,28‑Sep‑2020,Roland Garros,Clay,QF,1,18,(1)Djokovic d. (17)Pablo Carreno Busta [ESP],4-6 6-2 6-3 6-4,,1.15,1.50%,3.80%,56.50%,71.60%,52.60%,10/13,3:10
Djokovic,28‑Sep‑2020,Roland Garros,Clay,R16,1,16,(1)Djokovic d. (15)Karen Khachanov [RUS],6-4 6-3 6-3,,1.42,2.20%,1.10%,64.00%,70.20%,59.40%,7/9,2:23
Djokovic,28‑Sep‑2020,Roland Garros,Clay,R32,1,153,(1)Djokovic d. (LL)Daniel Elahi Galan [COL],6-0 6-3 6-2,,1.75,2.70%,2.70%,68.90%,74.50%,56.50%,5/5,2:08
Djokovic,28‑Sep‑2020,Roland Garros,Clay,R64,1,66,(1)Djokovic d. Ricardas Berankis [LTU],6-1 6-2 6-2,,1.98,15.20%,1.50%,57.60%,94.70%,46.40%,2/2,1:23
Djokovic,28‑Sep‑2020,Roland Garros,Clay,R128,1,80,(1)Djokovic d. Mikael Ymer [SWE],6-0 6-2 6-3,,1.97,3.40%,3.40%,60.30%,74.30%,60.90%,0/2,1:38
Djokovic,31‑Aug‑2020,US Open,Hard,R16,1,27,(20)Pablo Carreno Busta [ESP] d. (1)Djokovic,6-5 DEF,,1.33,32.10%,0.00%,71.40%,80.00%,62.50%,1/2,1:00
Djokovic,31‑Aug‑2020,US Open,Hard,R32,1,29,(1)Djokovic d. (28)Jan Lennard Struff [GER],6-3 6-3 6-1,(ch),1.62,4.90%,6.20%,63.00%,80.40%,56.70%,4/4,1:43
Djokovic,31‑Aug‑2020,US Open,Hard,R64,1,44,(1)Djokovic d. Kyle Edmund [GBR],6-7(5) 6-3 6-4 6-2,,1.7,14.80%,2.80%,66.70%,83.30%,58.30%,3/5,3:13
Djokovic,31‑Aug‑2020,US Open,Hard,R128,1,109,(1)Djokovic d. Damir Dzumhur [BIH],6-1 6-4 6-1,,1.57,6.10%,6.10%,59.80%,73.50%,54.50%,6/7,1:58
Djokovic,20‑Jan‑2020,Australian Open,Hard,F,2,5,(2)Djokovic d. (5)Dominic Thiem [AUT],6-4 4-6 2-6 6-3 6-4,(ch),1.2,6.70%,3.70%,64.90%,75.90%,51.10%,7/12,3:59
Djokovic,20‑Jan‑2020,Australian Open,Hard,SF,2,3,(2)Djokovic d. (3)Roger Federer [SUI],7-6(1) 6-4 6-3,(ch),1.31,10.80%,1.00%,72.50%,73.00%,53.60%,5/7,2:18
Djokovic,20‑Jan‑2020,Australian Open,Hard,QF,2,35,(2)Djokovic d. (32)Milos Raonic [CAN],6-4 6-3 7-6(1),(ch),1.52,4.00%,1.00%,69.30%,85.70%,48.40%,2/2,2:49
Djokovic,20‑Jan‑2020,Australian Open,Hard,R16,2,14,(2)Djokovic d. (14)Diego Schwartzman [ARG],6-3 6-4 6-4,(ch),1.57,9.30%,1.20%,64.00%,74.50%,67.70%,2/3,2:06
Djokovic,20‑Jan‑2020,Australian Open,Hard,R32,2,71,(2)Djokovic d. Yoshihito Nishioka [JPN],6-3 6-2 6-2,,3.46,27.40%,3.20%,74.20%,93.50%,68.80%,1/1,1:25
Djokovic,20‑Jan‑2020,Australian Open,Hard,R64,2,146,(2)Djokovic d. (WC)Tatsuma Ito [JPN],6-1 6-4 6-2,,2.64,25.00%,7.80%,71.90%,93.50%,55.60%,0/0,1:35
Djokovic,20‑Jan‑2020,Australian Open,Hard,R128,2,37,(2)Djokovic d. Jan Lennard Struff [GER],7-6(5) 6-2 2-6 6-1,,1.4,15.20%,3.30%,65.20%,76.70%,50.00%,1/5,2:16
Djokovic,26‑Aug‑2019,US Open,Hard,R16,1,24,(23)Stan Wawrinka [SUI] d. (1)Djokovic,6-4 7-5 2-1 RET,(ch),0.7,2.70%,6.80%,60.30%,70.50%,41.40%,3/7,1:46
Djokovic,26‑Aug‑2019,US Open,Hard,R32,1,111,(1)Djokovic d. Denis Kudla [USA],6-3 6-4 6-2,,1.53,6.50%,8.60%,62.40%,81.00%,60.00%,7/7,2:03
Djokovic,26‑Aug‑2019,US Open,Hard,R64,1,56,(1)Djokovic d. Juan Ignacio Londero [ARG],6-4 7-6(3) 6-1,,1.3,8.50%,9.80%,51.20%,71.40%,47.50%,3/8,2:15
Djokovic,26‑Aug‑2019,US Open,Hard,R128,1,76,(1)Djokovic d. Roberto Carballes Baena [ESP],6-4 6-1 6-4,,1.79,5.50%,4.10%,60.30%,84.10%,65.50%,0/0,1:52
Djokovic,1‑Jul‑2019,Wimbledon,Grass,F,1,3,(1)Djokovic d. (2)Roger Federer [SUI],7-6(5) 1-6 7-6(4) 4-6 13-12(3),(ch),0.87,4.60%,4.10%,62.10%,74.30%,47.00%,6/13,4:57
Djokovic,1‑Jul‑2019,Wimbledon,Grass,SF,1,22,(1)Djokovic d. (23)Roberto Bautista Agut [ESP],6-2 4-6 6-3 6-2,(ch),1.2,7.80%,2.60%,64.30%,77.00%,51.20%,4/5,2:49
Djokovic,1‑Jul‑2019,Wimbledon,Grass,QF,1,23,(1)Djokovic d. (21)David Goffin [BEL],6-4 6-0 6-2,(ch),1.47,3.60%,3.60%,59.00%,75.50%,50.00%,5/6,1:57
Djokovic,1‑Jul‑2019,Wimbledon,Grass,R16,1,66,(1)Djokovic d. Ugo Humbert [FRA],6-3 6-2 6-3,(ch),2.16,4.50%,1.50%,69.70%,78.30%,80.00%,0/0,1:42
Djokovic,1‑Jul‑2019,Wimbledon,Grass,R32,1,48,(1)Djokovic d. Hubert Hurkacz [POL],7-5 6-7(5) 6-1 6-4,(ch),1.31,6.80%,6.10%,65.90%,81.60%,51.10%,3/3,3:00
Djokovic,1‑Jul‑2019,Wimbledon,Grass,R64,1,111,(1)Djokovic d. Denis Kudla [USA],6-3 6-2 6-2,(ch),1.88,17.80%,2.70%,67.10%,79.60%,54.20%,3/5,1:33
Djokovic,1‑Jul‑2019,Wimbledon,Grass,R128,1,57,(1)Djokovic d. Philipp Kohlschreiber [GER],6-3 7-5 6-3,(ch),1.8,15.80%,3.90%,65.80%,84.00%,57.70%,3/5,2:03
Djokovic,27‑May‑2019,Roland Garros,Clay,SF,1,4,(4)Dominic Thiem [AUT] d. (1)Djokovic,6-2 3-6 7-5 5-7 7-5,(ch),0.9,3.40%,2.30%,75.10%,62.40%,47.70%,13/22,4:13
Djokovic,27‑May‑2019,Roland Garros,Clay,QF,1,5,(1)Djokovic d. (5)Alexander Zverev [GER],7-5 6-2 6-2,,1.46,1.20%,4.70%,64.00%,80.00%,51.60%,7/8,2:09
Djokovic,27‑May‑2019,Roland Garros,Clay,R16,1,45,(1)Djokovic d. Jan Lennard Struff [GER],6-3 6-2 6-2,,2.11,8.70%,4.30%,62.30%,86.00%,69.20%,1/1,1:33
Djokovic,27‑May‑2019,Roland Garros,Clay,R32,1,147,(1)Djokovic d. (Q)Salvatore Caruso [ITA],6-3 6-3 6-2,,1.85,10.70%,0.00%,69.30%,84.60%,52.20%,5/5,2:04
Djokovic,27‑May‑2019,Roland Garros,Clay,R64,1,104,(1)Djokovic d. (LL)Henri Laaksonen [SUI],6-1 6-4 6-3,,1.65,6.10%,3.00%,66.70%,81.80%,54.50%,0/1,1:33
Djokovic,27‑May‑2019,Roland Garros,Clay,R128,1,44,(1)Djokovic d. Hubert Hurkacz [POL],6-4 6-2 6-2,(ch),2.36,9.50%,1.60%,69.80%,81.80%,73.70%,1/2,1:36
Djokovic,14‑Jan‑2019,Australian Open,Hard,F,1,2,(1)Djokovic d. (2)Rafael Nadal [ESP],6-3 6-2 6-3,(ch),2.4,11.60%,0.00%,72.50%,80.00%,84.20%,1/1,2:04
Djokovic,14‑Jan‑2019,Australian Open,Hard,SF,1,31,(1)Djokovic d. (28)Lucas Pouille [FRA],6-0 6-2 6-2,(ch),3.4,11.30%,0.00%,71.70%,84.20%,86.70%,0/0,1:23
Djokovic,14‑Jan‑2019,Australian Open,Hard,QF,1,9,(1)Djokovic d. (8)Kei Nishikori [JPN],6-1 4-1 RET,(ch),4.01,6.90%,3.40%,69.00%,85.00%,88.90%,0/0,0:52
Djokovic,14‑Jan‑2019,Australian Open,Hard,R16,1,19,(1)Djokovic d. (15)Daniil Medvedev [RUS],6-4 6-7(5) 6-2 6-3,(ch),1.21,4.80%,4.00%,66.70%,72.60%,50.00%,7/9,3:15
Djokovic,14‑Jan‑2019,Australian Open,Hard,R32,1,27,(1)Djokovic d. (25)Denis Shapovalov [CAN],6-3 6-4 4-6 6-0,(ch),1.54,5.60%,4.40%,61.10%,74.50%,62.90%,2/5,2:22
Djokovic,14‑Jan‑2019,Australian Open,Hard,R64,1,177,(1)Djokovic d. (WC)Jo Wilfried Tsonga [FRA],6-3 7-5 6-4,,1.46,13.80%,1.10%,70.10%,73.80%,69.20%,3/5,2:04
Djokovic,14‑Jan‑2019,Australian Open,Hard,R128,1,230,(1)Djokovic d. (Q)Mitchell Krueger [USA],6-3 6-2 6-2,,2.3,9.20%,3.10%,73.80%,85.40%,58.80%,1/2,2:03
Djokovic,27‑Aug‑2018,US Open,Hard,F,6,3,(6)Djokovic d. (3)Juan Martin Del Potro [ARG],6-3 7-6(4) 6-3,(ch),1.1,0.80%,1.70%,62.70%,67.60%,59.10%,4/6,3:16
Djokovic,27‑Aug‑2018,US Open,Hard,SF,6,19,(6)Djokovic d. (21)Kei Nishikori [JPN],6-3 6-4 6-2,(ch),1.89,3.80%,2.60%,64.10%,80.00%,71.40%,2/2,2:23
Djokovic,27‑Aug‑2018,US Open,Hard,QF,6,55,(6)Djokovic d. John Millman [AUS],6-3 6-4 6-4,(ch),1.47,1.20%,4.70%,66.30%,73.70%,65.50%,1/2,2:49
Djokovic,27‑Aug‑2018,US Open,Hard,R16,6,68,(6)Djokovic d. Joao Sousa [POR],6-3 6-4 6-3,,1.49,12.00%,1.30%,66.70%,78.00%,56.00%,0/1,2:00
Djokovic,27‑Aug‑2018,US Open,Hard,R32,6,25,(6)Djokovic d. (26)Richard Gasquet [FRA],6-2 6-3 6-3,,1.64,3.60%,2.40%,62.70%,75.00%,64.50%,5/5,2:11
Djokovic,27‑Aug‑2018,US Open,Hard,R64,6,61,(6)Djokovic d. Tennys Sandgren [USA],6-1 6-3 6-7(2) 6-2,,1.33,5.30%,2.60%,71.10%,70.40%,57.60%,2/3,2:46
