Player,Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
Djokovic,20‑Jun‑2011,Wimbledon,Grass,QF,2,158,(2)Djokovic d. (Q)Bernard Tomic [AUS],6-2 3-6 6-3 7-5,(wp),1.25,52.60%,42.40%,4.90%,37.20%,52.00%,6/15,2:41
Djokovic,20‑Jun‑2011,Wimbledon,Grass,R16,2,35,(2)Djokovic d. (19)Michael Llodra [FRA],6-3 6-3 6-3,(wp),2.13,59.70%,41.50%,9.80%,27.30%,57.90%,4/11,1:41
Djokovic,20‑Jun‑2011,Wimbledon,Grass,R32,2,30,(2)Djokovic d. (32)Marcos Baghdatis [CYP],6-4 4-6 6-3 6-4,(wp),1.17,52.00%,36.40%,10.60%,27.10%,46.80%,3/11,3:15
Djokovic,20‑Jun‑2011,Wimbledon,Grass,R64,2,36,(2)Djokovic d. Kevin Anderson [RSA],6-3 6-4 6-2,(wp),1.48,58.50%,45.80%,11.10%,40.00%,59.10%,5/9,1:54
Djokovic,20‑Jun‑2011,Wimbledon,Grass,R128,2,54,(2)Djokovic d. Jeremy Chardy [FRA],6-4 6-1 6-1,(wp),2.74,64.00%,49.30%,12.00%,31.80%,74.20%,6/10,1:20
Djokovic,22‑May‑2011,Roland Garros,Clay,SF,2,3,(3)Roger Federer [SUI] d. (2)Djokovic,7-6(5) 6-3 3-6 7-6(5),(ch) (wp),0.82,47.60%,32.60%,12.80%,23.10%,50.00%,4/13,3:39
Djokovic,22‑May‑2011,Roland Garros,Clay,QF,2,49,(2)Djokovic d. Fabio Fognini [ITA],W/O,,,,,,,,,
Djokovic,22‑May‑2011,Roland Garros,Clay,R16,2,16,(2)Djokovic d. (13)Richard Gasquet [FRA],6-4 6-4 6-2,(wp),2.44,60.30%,41.90%,7.00%,34.00%,54.50%,4/8,1:47
Djokovic,22‑May‑2011,Roland Garros,Clay,R32,2,26,(2)Djokovic d. (25)Juan Martin Del Potro [ARG],6-3 3-6 6-3 6-2,(wp),1.54,56.50%,43.40%,4.40%,34.80%,55.30%,5/12,2:56
Djokovic,22‑May‑2011,Roland Garros,Clay,R64,2,60,(2)Djokovic d. Victor Hanescu [ROU],6-4 6-1 2-3 RET,(wp),2.74,59.40%,40.50%,4.10%,37.00%,46.40%,3/8,1:29
Djokovic,22‑May‑2011,Roland Garros,Clay,R128,2,71,(2)Djokovic d. Thiemo De Bakker [NED],6-2 6-1 6-3,(wp),2.8,62.60%,47.50%,6.30%,38.50%,64.30%,6/16,1:32
Djokovic,17‑Jan‑2011,Australian Open,Hard,F,3,5,(3)Djokovic d. (5)Andy Murray [GBR],6-4 6-2 6-3,(ch) (wp),1.54,57.60%,51.40%,5.50%,37.30%,68.00%,7/18,2:39
Djokovic,17‑Jan‑2011,Australian Open,Hard,SF,3,2,(3)Djokovic d. (2)Roger Federer [SUI],7-6(3) 7-5 6-4,(ch) (wp),1.04,51.70%,38.10%,4.80%,27.40%,53.50%,5/14,3:00
Djokovic,17‑Jan‑2011,Australian Open,Hard,QF,3,6,(3)Djokovic d. (6)Tomas Berdych [CZE],6-1 7-6(5) 6-1,(ch) (wp),1.49,57.20%,45.80%,6.30%,28.80%,65.90%,5/10,2:32
Djokovic,17‑Jan‑2011,Australian Open,Hard,R16,3,14,(3)Djokovic d. (14)Nicolas Almagro [ESP],6-3 6-4 6-0,(wp),1.92,60.80%,46.20%,6.40%,39.10%,56.30%,5/13,1:44
Djokovic,17‑Jan‑2011,Australian Open,Hard,R32,3,27,(3)Djokovic d. (29)Viktor Troicki [SRB],6-2 RET,(wp),1.52,58.30%,55.30%,5.30%,34.80%,86.70%,3/6,0:40
Djokovic,17‑Jan‑2011,Australian Open,Hard,R64,3,81,(3)Djokovic d. Ivan Dodig [CRO],7-5 6-7(8) 6-0 6-2,(wp),1.42,54.70%,41.10%,5.50%,33.30%,51.60%,7/20,3:21
Djokovic,17‑Jan‑2011,Australian Open,Hard,R128,3,42,(3)Djokovic d. Marcel Granollers [ESP],6-1 6-3 6-1,(wp),2.03,64.10%,55.40%,4.60%,32.30%,76.50%,7/12,1:31
Djokovic,30‑Aug‑2010,US Open,Hard,F,3,1,(1)Rafael Nadal [ESP] d. (3)Djokovic,6-4 5-7 6-4 6-2,(ch),0.77,46.70%,32.10%,7.10%,26.70%,43.20%,3/4,3:43
Djokovic,30‑Aug‑2010,US Open,Hard,SF,3,2,(3)Djokovic d. (2)Roger Federer [SUI],5-7 6-1 5-7 6-2 7-5,(ch),1.17,52.40%,39.40%,7.50%,26.20%,53.90%,6/12,3:44
Djokovic,30‑Aug‑2010,US Open,Hard,QF,3,19,(3)Djokovic d. (17)Gael Monfils [FRA],7-6(2) 6-1 6-2,(ch),1.45,57.90%,52.30%,2.80%,47.50%,58.30%,7/18,2:24
Djokovic,30‑Aug‑2010,US Open,Hard,R16,3,21,(3)Djokovic d. (19)Mardy Fish [USA],6-3 6-4 6-1,,1.47,57.80%,46.50%,4.20%,43.60%,50.00%,6/8,1:50
Djokovic,30‑Aug‑2010,US Open,Hard,R32,3,108,(3)Djokovic d. (WC)James Blake [USA],6-1 7-6(4) 6-3,(ch),1.26,55.60%,39.00%,1.30%,36.50%,44.00%,4/6,1:44
Djokovic,30‑Aug‑2010,US Open,Hard,R64,3,52,(3)Djokovic d. Philipp Petzschner [GER],7-5 6-3 7-6(6),,1.35,54.20%,38.70%,5.40%,31.80%,48.90%,4/12,2:23
Djokovic,30‑Aug‑2010,US Open,Hard,R128,3,47,(3)Djokovic d. Viktor Troicki [SRB],6-3 3-6 2-6 7-5 6-3,,1,50.20%,39.10%,14.70%,30.60%,58.30%,5/14,3:40
Djokovic,21‑Jun‑2010,Wimbledon,Grass,SF,3,13,(12)Tomas Berdych [CZE] d. (3)Djokovic,6-3 7-6(9) 6-3,(ch),0.75,44.20%,26.50%,10.80%,19.00%,36.40%,1/4,2:18
Djokovic,21‑Jun‑2010,Wimbledon,Grass,QF,3,82,(3)Djokovic d. Yen Hsun Lu [TPE],6-3 6-2 6-2,,2.55,61.80%,47.10%,4.60%,35.20%,66.70%,5/15,1:51
Djokovic,21‑Jun‑2010,Wimbledon,Grass,R16,3,26,(3)Djokovic d. (15)Lleyton Hewitt [AUS],7-5 6-4 3-6 6-4,,0.98,50.60%,32.40%,4.50%,22.10%,48.80%,4/9,2:54
Djokovic,21‑Jun‑2010,Wimbledon,Grass,R32,3,31,(3)Djokovic d. (28)Albert Montanes [ESP],6-1 6-4 6-4,,1.75,57.10%,41.90%,5.40%,32.80%,59.40%,4/9,1:41
Djokovic,21‑Jun‑2010,Wimbledon,Grass,R64,3,97,(3)Djokovic d. (Q)Taylor Dent [USA],7-6(5) 6-1 6-4,,1.74,57.20%,41.00%,11.40%,15.70%,64.80%,3/6,1:57
Djokovic,21‑Jun‑2010,Wimbledon,Grass,R128,3,68,(3)Djokovic d. Olivier Rochus [BEL],4-6 6-2 3-6 6-4 6-2,(ch),1.22,53.70%,48.30%,0.60%,42.70%,57.80%,9/20,3:51
Djokovic,24‑May‑2010,Roland Garros,Clay,QF,3,27,(22)Jurgen Melzer [AUT] d. (3)Djokovic,3-6 2-6 6-2 7-6(3) 6-4,,0.88,49.40%,35.90%,6.20%,28.80%,43.10%,4/8,4:15
Djokovic,24‑May‑2010,Roland Garros,Clay,R16,3,98,(3)Djokovic d. Robby Ginepri [USA],6-4 2-6 6-1 6-2,,1.06,52.60%,37.90%,3.40%,31.30%,56.50%,5/9,2:17
Djokovic,24‑May‑2010,Roland Garros,Clay,R32,3,37,(3)Djokovic d. (31)Victor Hanescu [ROU],6-3 3-6 6-3 6-2,,1.27,53.70%,43.20%,4.20%,40.00%,51.50%,7/16,2:38
Djokovic,24‑May‑2010,Roland Garros,Clay,R64,3,246,(3)Djokovic d. Kei Nishikori [JPN],6-1 6-4 6-4,,1.16,53.80%,48.40%,1.10%,43.90%,55.30%,6/14,2:40
Djokovic,24‑May‑2010,Roland Garros,Clay,R128,3,73,(3)Djokovic d. Evgeny Korolev [KAZ],6-1 3-6 6-1 6-3,,1.4,56.80%,46.20%,4.30%,37.00%,55.30%,7/12,2:08
Djokovic,18‑Jan‑2010,Australian Open,Hard,QF,3,10,(10)Jo Wilfried Tsonga [FRA] d. (3)Djokovic,7-6(8) 6-7(5) 1-6 6-3 6-1,(ch),1.02,49.50%,39.30%,11.30%,32.10%,52.50%,6/16,3:52
Djokovic,18‑Jan‑2010,Australian Open,Hard,R16,3,86,(3)Djokovic d. Lukasz Kubot [POL],6-1 6-2 7-5,,2,61.30%,46.10%,5.30%,32.60%,66.70%,6/9,1:55
Djokovic,18‑Jan‑2010,Australian Open,Hard,R32,3,103,(3)Djokovic d. Denis Istomin [UZB],6-1 6-1 6-2,,1.73,63.80%,66.70%,5.00%,60.60%,74.10%,9/14,1:37
Djokovic,18‑Jan‑2010,Australian Open,Hard,R64,3,58,(3)Djokovic d. Marco Chiudinelli [SUI],3-6 6-1 6-1 6-3,,1.2,54.60%,49.00%,2.90%,42.10%,57.80%,8/18,2:58
Djokovic,18‑Jan‑2010,Australian Open,Hard,R128,3,74,(3)Djokovic d. Daniel Gimeno Traver [ESP],7-5 6-3 6-2,,1.47,56.90%,44.00%,5.50%,27.80%,67.60%,5/14,2:01
Djokovic,31‑Aug‑2009,US Open,Hard,SF,4,1,(1)Roger Federer [SUI] d. (4)Djokovic,7-6(3) 7-5 7-5,(ch),0.8,46.90%,29.40%,7.30%,22.20%,39.10%,1/3,2:34
Djokovic,31‑Aug‑2009,US Open,Hard,QF,4,10,(4)Djokovic d. (10)Fernando Verdasco [ESP],7-6(2) 1-6 7-5 6-2,,1.13,53.10%,40.20%,4.10%,30.90%,51.90%,4/12,3:05
Djokovic,31‑Aug‑2009,US Open,Hard,R16,4,16,(4)Djokovic d. (15)Radek Stepanek [CZE],6-1 6-3 6-3,,1.61,59.10%,50.00%,5.00%,46.90%,54.80%,6/13,1:46
Djokovic,31‑Aug‑2009,US Open,Hard,R32,4,276,(4)Djokovic d. (Q)Jesse Witten [USA],6-7(2) 6-3 7-6(2) 6-4,,1.12,52.20%,44.40%,3.50%,40.90%,47.40%,9/18,3:28
Djokovic,31‑Aug‑2009,US Open,Hard,R64,4,155,(4)Djokovic d. (Q)Carsten Ball [AUS],6-3 6-4 6-4,,1.8,57.10%,40.90%,8.60%,30.20%,55.00%,4/18,1:49
Djokovic,31‑Aug‑2009,US Open,Hard,R128,4,51,(4)Djokovic d. Ivan Ljubicic [CRO],6-3 6-1 6-3,,2.3,62.50%,48.70%,12.80%,41.00%,56.40%,5/10,1:37
Djokovic,22‑Jun‑2009,Wimbledon,Grass,QF,4,34,(24)Tommy Haas [GER] d. (4)Djokovic,7-5 7-6(6) 4-6 6-3,(ch),0.89,48.40%,27.40%,14.50%,19.50%,40.40%,2/2,2:45
Djokovic,22‑Jun‑2009,Wimbledon,Grass,R16,4,46,(4)Djokovic d. Dudi Sela [ISR],6-2 6-4 6-1,,1.54,58.70%,49.30%,1.40%,43.50%,60.00%,7/14,1:30
Djokovic,22‑Jun‑2009,Wimbledon,Grass,R32,4,25,(4)Djokovic d. (28)Mardy Fish [USA],6-4 6-4 6-4,,1.6,55.90%,39.60%,6.30%,25.00%,60.00%,4/12,1:59
Djokovic,22‑Jun‑2009,Wimbledon,Grass,R64,4,106,(4)Djokovic d. (Q)Simon Greul [GER],7-5 6-1 6-4,,1.29,56.00%,51.70%,0.00%,50.90%,52.90%,8/15,2:00
Djokovic,22‑Jun‑2009,Wimbledon,Grass,R128,4,81,(4)Djokovic d. Julien Benneteau [FRA],6-7(8) 7-6(1) 6-2 6-4,,1.33,53.20%,37.50%,2.00%,31.70%,50.00%,4/12,3:29
Djokovic,25‑May‑2009,Roland Garros,Clay,R32,4,31,(29)Philipp Kohlschreiber [GER] d. (4)Djokovic,6-4 6-4 6-4,,0.82,45.70%,35.70%,1.00%,35.40%,36.40%,2/6,2:21
Djokovic,25‑May‑2009,Roland Garros,Clay,R64,4,110,(4)Djokovic d. (Q)Sergiy Stakhovsky [UKR],6-3 6-4 6-1,,1.47,56.50%,49.50%,5.60%,38.70%,64.40%,7/18,2:04
Djokovic,25‑May‑2009,Roland Garros,Clay,R128,4,102,(4)Djokovic d. Nicolas Lapentti [ECU],6-3 3-1 RET,,1.96,59.00%,46.60%,0.00%,39.50%,60.00%,2/7,1:18
Djokovic,19‑Jan‑2009,Australian Open,Hard,QF,3,9,(7)Andy Roddick [USA] d. (3)Djokovic,6-7(3) 6-4 6-2 2-1 RET,(ch),0.59,43.60%,25.30%,18.40%,12.90%,56.00%,1/1,2:30
Djokovic,19‑Jan‑2009,Australian Open,Hard,R16,3,97,(3)Djokovic d. Marcos Baghdatis [CYP],6-1 7-6(1) 6-7(5) 6-2,,1.36,55.50%,44.10%,8.80%,35.10%,54.80%,5/17,3:13
Djokovic,19‑Jan‑2009,Australian Open,Hard,R32,3,127,(3)Djokovic d. (LL)Amer Delic [BIH],6-2 4-6 6-3 7-6(4),,1.2,53.10%,36.60%,12.20%,23.40%,55.60%,3/8,3:03
Djokovic,19‑Jan‑2009,Australian Open,Hard,R64,3,68,(3)Djokovic d. Jeremy Chardy [FRA],7-5 6-1 6-3,,1.7,59.30%,45.30%,4.00%,42.30%,52.20%,6/6,1:42
Djokovic,19‑Jan‑2009,Australian Open,Hard,R128,3,220,(3)Djokovic d. (Q)Andrea Stoppini [ITA],6-2 6-3 7-5,,1.45,56.50%,50.90%,5.50%,44.10%,58.80%,8/19,1:55
Djokovic,25‑Aug‑2008,US Open,Hard,SF,3,2,(2)Roger Federer [SUI] d. (3)Djokovic,6-3 5-7 7-5 6-2,(ch),0.78,45.80%,29.60%,16.00%,23.80%,40.00%,2/4,2:44
Djokovic,25‑Aug‑2008,US Open,Hard,QF,3,8,(3)Djokovic d. (8)Andy Roddick [USA],6-2 6-3 3-6 7-6(5),,1.29,53.60%,37.10%,12.10%,30.00%,52.80%,5/5,2:34
Djokovic,25‑Aug‑2008,US Open,Hard,R16,3,15,(3)Djokovic d. (15)Tommy Robredo [ESP],4-6 6-2 6-3 5-7 6-3,,1.19,52.60%,39.20%,5.20%,34.30%,49.00%,6/13,3:43
Djokovic,25‑Aug‑2008,US Open,Hard,R32,3,24,(3)Djokovic d. (30)Marin Cilic [CRO],6-7(7) 7-5 6-4 7-6(0),,1.21,52.90%,39.80%,12.40%,19.80%,60.00%,6/13,3:52
Djokovic,25‑Aug‑2008,US Open,Hard,R64,3,113,(3)Djokovic d. (Q)Robert Kendrick [USA],7-6(8) 6-4 6-4,,1.21,53.40%,34.30%,18.60%,20.70%,52.30%,2/3,2:06
Djokovic,25‑Aug‑2008,US Open,Hard,R128,3,78,(3)Djokovic d. Arnaud Clement [FRA],6-3 6-3 6-4,,1.52,56.80%,39.30%,7.10%,35.40%,44.40%,4/7,2:00
Djokovic,23‑Jun‑2008,Wimbledon,Grass,R64,3,75,Marat Safin [RUS] d. (3)Djokovic,6-4 7-6(3) 6-2,(ch),0.71,44.30%,28.40%,7.40%,20.40%,39.00%,1/1,2:02
Djokovic,23‑Jun‑2008,Wimbledon,Grass,R128,3,91,(3)Djokovic d. Michael Berrer [GER],7-5 2-6 6-3 6-0,,1.5,55.60%,41.60%,8.80%,28.00%,68.40%,5/16,2:07
Djokovic,25‑May‑2008,Roland Garros,Clay,SF,3,2,(2)Rafael Nadal [ESP] d. (3)Djokovic,6-4 6-2 7-6(3),(ch),0.78,45.50%,32.70%,0.00%,33.80%,29.60%,2/6,2:49
Djokovic,25‑May‑2008,Roland Garros,Clay,QF,3,80,(3)Djokovic d. Ernests Gulbis [LAT],7-5 7-6(3) 7-5,,1.18,52.50%,40.60%,8.70%,31.80%,54.70%,4/16,3:07
Djokovic,25‑May‑2008,Roland Garros,Clay,R16,3,19,(3)Djokovic d. (18)Paul Henri Mathieu [FRA],6-4 6-3 6-4,,1.59,55.30%,43.20%,7.20%,28.60%,62.50%,5/12,2:20
Djokovic,25‑May‑2008,Roland Garros,Clay,R32,3,106,(3)Djokovic d. (WC)Wayne Odesnik [USA],7-5 6-4 6-2,,1.48,56.40%,48.70%,8.40%,40.30%,57.90%,7/12,2:17
Djokovic,25‑May‑2008,Roland Garros,Clay,R64,3,264,(3)Djokovic d. (Q)Miguel Angel Lopez Jaen [ESP],6-1 6-1 6-3,,2.14,64.20%,53.60%,8.70%,43.50%,73.90%,6/10,1:20
Djokovic,25‑May‑2008,Roland Garros,Clay,R128,3,64,(3)Djokovic d. Denis Gremelmayr [GER],4-6 6-3 7-5 6-2,,1.15,53.30%,41.00%,3.00%,34.80%,46.30%,7/12,2:29
Djokovic,14‑Jan‑2008,Australian Open,Hard,F,3,38,(3)Djokovic d. Jo Wilfried Tsonga [FRA],4-6 6-4 6-3 7-6(2),(ch),1.26,52.70%,36.00%,11.00%,28.90%,53.80%,4/12,3:05
Djokovic,14‑Jan‑2008,Australian Open,Hard,SF,3,1,(3)Djokovic d. (1)Roger Federer [SUI],7-5 6-3 7-6(5),(ch),1.17,53.20%,39.40%,9.20%,29.40%,56.10%,4/11,2:26
Djokovic,14‑Jan‑2008,Australian Open,Hard,QF,3,5,(3)Djokovic d. (5)David Ferrer [ESP],6-0 6-3 7-5,,1.48,58.20%,49.50%,4.40%,44.20%,56.40%,6/14,2:12
Djokovic,14‑Jan‑2008,Australian Open,Hard,R16,3,22,(3)Djokovic d. (19)Lleyton Hewitt [AUS],7-5 6-3 6-3,,1.27,55.70%,48.90%,6.70%,41.70%,57.10%,7/12,2:26
Djokovic,14‑Jan‑2008,Australian Open,Hard,R32,3,62,(3)Djokovic d. Sam Querrey [USA],6-3 6-1 6-3,,2.21,61.00%,50.00%,8.70%,38.60%,68.60%,7/14,1:34
Djokovic,14‑Jan‑2008,Australian Open,Hard,R64,3,70,(3)Djokovic d. Simone Bolelli [ITA],6-1 6-2 6-2,,1.85,62.80%,53.10%,7.80%,50.00%,57.70%,6/8,1:32
Djokovic,14‑Jan‑2008,Australian Open,Hard,R128,3,81,(3)Djokovic d. Benjamin Becker [GER],6-0 6-2 7-6(5),,1.65,59.60%,50.00%,8.50%,42.10%,56.80%,6/7,2:00
Djokovic,27‑Aug‑2007,US Open,Hard,F,3,1,(1)Roger Federer [SUI] d. (3)Djokovic,7-6(4) 7-6(2) 6-4,(ch),0.76,46.40%,27.40%,10.40%,21.20%,37.50%,2/9,2:24
Djokovic,27‑Aug‑2007,US Open,Hard,SF,3,15,(3)Djokovic d. (15)David Ferrer [ESP],6-4 6-4 6-3,(ch),1.33,55.30%,45.40%,5.20%,39.40%,61.50%,6/11,2:12
Djokovic,27‑Aug‑2007,US Open,Hard,QF,3,17,(3)Djokovic d. (17)Carlos Moya [ESP],6-4 7-6(7) 6-1,,1.65,56.30%,43.90%,1.80%,30.80%,61.20%,5/17,2:18
Djokovic,27‑Aug‑2007,US Open,Hard,R16,3,23,(3)Djokovic d. (23)Juan Monaco [ARG],7-5 7-6(2) 6-7(6) 6-1,,1.16,53.20%,41.40%,2.10%,34.50%,51.70%,6/14,3:51
Djokovic,27‑Aug‑2007,US Open,Hard,R32,3,57,(3)Djokovic d. Juan Martin Del Potro [ARG],6-1 6-3 6-4,,1.77,60.80%,49.30%,1.40%,51.00%,45.50%,6/6,1:42
Djokovic,27‑Aug‑2007,US Open,Hard,R64,3,35,(3)Djokovic d. Radek Stepanek [CZE],6-7(4) 7-6(5) 5-7 7-5 7-6(2),,1.16,52.00%,32.60%,6.60%,22.10%,50.00%,3/4,4:41
Djokovic,27‑Aug‑2007,US Open,Hard,R128,3,95,(3)Djokovic d. (LL)Robin Haase [NED],6-2 6-1 6-3,,2.08,60.70%,50.50%,6.20%,40.30%,68.60%,6/17,1:36
Djokovic,25‑Jun‑2007,Wimbledon,Grass,SF,5,2,(2)Rafael Nadal [ESP] d. (4)Djokovic,3-6 6-1 4-1 RET,(ch),0.72,46.20%,30.90%,7.30%,21.90%,43.50%,1/2,1:41
Djokovic,25‑Jun‑2007,Wimbledon,Grass,QF,5,16,(4)Djokovic d. (10)Marcos Baghdatis [CYP],7-6(4) 7-6(9) 6-7(3) 4-6 7-5,,1.13,50.80%,37.80%,2.70%,27.40%,48.20%,5/17,5:00
Djokovic,25‑Jun‑2007,Wimbledon,Grass,R16,5,19,(4)Djokovic d. (16)Lleyton Hewitt [AUS],7-6(8) 7-6(2) 4-6 7-6(5),(ch),1.05,51.70%,36.30%,4.50%,26.20%,46.80%,3/8,4:12
Djokovic,25‑Jun‑2007,Wimbledon,Grass,R32,5,,(4)Djokovic d. Nicolas Kiefer [GER],7-6(4) 6-7(6) 6-2 7-6(5),,1.36,53.30%,35.40%,5.50%,27.50%,48.40%,3/12,3:39
Djokovic,25‑Jun‑2007,Wimbledon,Grass,R64,5,67,(4)Djokovic d. Amer Delic [BIH],6-3 3-6 6-3 7-6(4),,1.35,53.70%,37.40%,15.40%,22.40%,61.70%,4/11,2:19
Djokovic,25‑Jun‑2007,Wimbledon,Grass,R128,5,47,(4)Djokovic d. Potito Starace [ITA],6-0 6-3 6-4,,1.74,59.00%,47.10%,2.30%,48.10%,45.50%,6/16,1:35
Djokovic,28‑May‑2007,Roland Garros,Clay,SF,6,2,(2)Rafael Nadal [ESP] d. (6)Djokovic,7-5 6-4 6-2,(ch),0.62,41.40%,30.20%,3.50%,26.20%,40.00%,2/6,2:28
Djokovic,28‑May‑2007,Roland Garros,Clay,QF,6,125,(6)Djokovic d. Igor Andreev [RUS],6-3 6-3 6-3,,1.17,54.10%,42.70%,2.40%,38.20%,51.90%,5/10,2:12
Djokovic,28‑May‑2007,Roland Garros,Clay,R16,6,51,(6)Djokovic d. Fernando Verdasco [ESP],6-3 6-3 7-6(1),,1.22,53.70%,42.20%,2.60%,36.00%,60.00%,4/19,2:45
Djokovic,28‑May‑2007,Roland Garros,Clay,R32,6,129,(6)Djokovic d. (WC)Olivier Patience [FRA],7-6(2) 2-6 3-6 7-6(4) 6-3,,1.04,50.00%,33.90%,4.70%,29.20%,40.00%,2/16,4:04
Djokovic,28‑May‑2007,Roland Garros,Clay,R64,6,306,(6)Djokovic d. (Q)Laurent Recouderc [FRA],6-3 3-6 6-3 6-1,,1.36,55.50%,44.40%,0.00%,34.50%,56.00%,6/11,2:15
Djokovic,28‑May‑2007,Roland Garros,Clay,R128,6,123,(6)Djokovic d. (LL)Santiago Giraldo [COL],6-3 7-6(3) 6-4,,1.15,53.80%,43.20%,5.30%,36.10%,55.90%,4/11,2:11
Djokovic,15‑Jan‑2007,Australian Open,Hard,R16,15,1,(1)Roger Federer [SUI] d. (14)Djokovic,6-2 7-5 6-3,(ch),0.56,42.00%,25.00%,15.00%,20.00%,33.30%,1/2,1:50
Djokovic,15‑Jan‑2007,Australian Open,Hard,R32,15,102,(14)Djokovic d. Danai Udomchoke [THA],6-3 6-4 5-7 6-1,,1.23,54.10%,43.80%,0.80%,35.90%,52.60%,7/15,2:45
Djokovic,15‑Jan‑2007,Australian Open,Hard,R64,15,79,(14)Djokovic d. Feliciano Lopez [ESP],6-2 7-5 6-1,,1.56,58.50%,48.90%,5.60%,35.80%,67.60%,6/15,2:01
Djokovic,15‑Jan‑2007,Australian Open,Hard,R128,15,43,(14)Djokovic d. Nicolas Massu [CHI],6-1 6-1 6-0,(ch),2.28,65.60%,58.00%,1.40%,54.10%,62.50%,8/15,1:21
Djokovic,28‑Aug‑2006,US Open,Hard,R32,23,17,(15)Lleyton Hewitt [AUS] d. (20)Djokovic,6-3 6-1 6-2,,0.54,39.60%,26.80%,14.10%,21.60%,32.40%,0/5,1:29
Djokovic,28‑Aug‑2006,US Open,Hard,R64,23,60,(20)Djokovic d. Mardy Fish [USA],7-6(5) 6-4 3-6 7-6(3),,0.93,49.30%,27.80%,14.60%,18.10%,37.50%,1/7,3:11
Djokovic,28‑Aug‑2006,US Open,Hard,R128,23,577,(20)Djokovic d. (WC)Donald Young [USA],4-6 6-3 6-0 6-1,,1.53,59.30%,49.40%,4.60%,45.50%,53.50%,7/9,1:41
Djokovic,26‑Jun‑2006,Wimbledon,Grass,R16,39,10,(7)Mario Ancic [CRO] d. Djokovic,6-4 4-6 4-6 7-5 6-3,,0.96,48.90%,26.80%,22.50%,14.80%,43.90%,2/3,3:24
Djokovic,26‑Jun‑2006,Wimbledon,Grass,R32,39,41,Djokovic d. Mikhail Youzhny [RUS],4-6 6-2 6-3 6-3,,1.27,55.00%,37.80%,6.10%,34.90%,42.90%,5/6,2:36
Djokovic,26‑Jun‑2006,Wimbledon,Grass,R64,39,8,Djokovic d. (11)Tommy Robredo [ESP],7-6(5) 6-2 6-4,,1.33,55.20%,46.70%,0.90%,39.20%,63.60%,6/15,2:13
Djokovic,26‑Jun‑2006,Wimbledon,Grass,R128,39,65,Djokovic d. Paul Goldstein [USA],6-3 6-2 7-6(3),,1.19,54.10%,40.20%,1.10%,27.90%,52.30%,5/8,2:04
Djokovic,29‑May‑2006,Roland Garros,Clay,QF,63,2,(2)Rafael Nadal [ESP] d. Djokovic,6-4 6-4 RET,(ch),0.69,42.10%,37.30%,5.10%,36.20%,41.70%,3/6,1:54
Djokovic,29‑May‑2006,Roland Garros,Clay,R16,63,28,Djokovic d. (25)Gael Monfils [FRA],7-6(5) 7-6(5) 6-3,,1.28,54.00%,36.60%,5.90%,27.10%,45.30%,4/9,2:33
Djokovic,29‑May‑2006,Roland Garros,Clay,R32,63,25,Djokovic d. (23)Tommy Haas [GER],7-5 6-1 7-6(4),,1.58,55.80%,41.60%,5.00%,33.30%,53.70%,6/12,2:14
Djokovic,29‑May‑2006,Roland Garros,Clay,R64,63,9,Djokovic d. (9)Fernando Gonzalez [CHI],6-4 6-1 3-6 4-6 6-1,,1.11,53.90%,37.70%,7.90%,27.40%,56.10%,6/10,3:03
Djokovic,29‑May‑2006,Roland Garros,Clay,R128,63,46,Djokovic d. Luis Horna [PER],6-3 5-0 RET,,2.52,61.80%,49.10%,1.90%,50.00%,47.60%,4/8,1:00
Djokovic,16‑Jan‑2006,Australian Open,Hard,R128,76,68,Paul Goldstein [USA] d. Djokovic,6-2 1-6 6-3 6-2,,0.85,46.50%,38.80%,1.70%,29.20%,54.50%,3/13,2:28
Djokovic,29‑Aug‑2005,US Open,Hard,R32,97,48,Fernando Verdasco [ESP] d. Djokovic,6-1 4-6 6-7(2) 6-4 6-4,,0.84,47.00%,33.80%,8.80%,23.30%,50.00%,4/11,3:04
Djokovic,29‑Aug‑2005,US Open,Hard,R64,97,24,Djokovic d. (22)Mario Ancic [CRO],6-3 5-7 7-6(4) 6-3,,1.06,51.30%,36.80%,6.00%,27.30%,55.60%,5/13,3:27
Djokovic,29‑Aug‑2005,US Open,Hard,R128,97,43,Djokovic d. Gael Monfils [FRA],7-5 4-6 7-6(5) 0-6 7-5,(ch),0.72,46.30%,27.90%,15.00%,14.10%,43.50%,2/3,3:57
Djokovic,20‑Jun‑2005,Wimbledon,Grass,R32,128,27,(9)Sebastien Grosjean [FRA] d. (Q)Djokovic,7-5 6-4 5-7 6-4,,1.04,49.60%,32.10%,5.00%,24.10%,42.60%,1/4,2:51
Djokovic,20‑Jun‑2005,Wimbledon,Grass,R64,128,81,(Q)Djokovic d. Guillermo Garcia Lopez [ESP],3-6 3-6 7-6(5) 7-6(3) 6-4,,1.04,50.40%,40.10%,3.30%,29.60%,55.40%,7/17,4:08
Djokovic,20‑Jun‑2005,Wimbledon,Grass,R128,128,68,(Q)Djokovic d. Juan Monaco [ARG],6-3 7-6(5) 6-3,,1.36,54.50%,36.10%,4.10%,30.20%,47.10%,3/10,1:53
