Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Teemu Selänne,1970,F,1451,684,773,1457,660,95,,,,,422,255,7,110,9,438,333,2,116,13,860,588,9,226,22,40.4%,,,,,,,,,,0.471,0.533,1.004,4540,15.1%,123,96,956,1077,47.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bryan Trottier,1956,F,1279,524,901,1425,912,449,,,,,344,161,19,69,1,619,262,20,116,4,963,423,39,185,5,29.7%,,,,,,,,,,0.41,0.704,1.114,2839,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Adam Oates,1962,F,1337,341,1079,1420,415,33,,,,,226,103,12,56,5,646,410,23,176,17,872,513,35,232,22,36.1%,,,,,,,,,,0.255,0.807,1.062,2392,14.3%,,,6486,4770,57.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Doug Gilmour,1963,F,1474,450,964,1414,1301,129,,,,,279,153,18,56,3,603,335,26,144,15,882,488,44,200,18,34.5%,,,,,,,,,,0.305,0.654,0.959,2834,15.9%,,,2934,2641,52.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dale Hawerchuk,1963,F,1188,518,891,1409,740,-98,,,,,324,182,12,49,4,494,386,11,101,9,818,568,23,150,13,40.3%,,,,,,,,,,0.436,0.75,1.186,3754,13.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jari Kurri,1960,F,1251,601,797,1398,545,304,,,,,407,155,39,72,7,514,240,43,89,6,921,395,82,161,13,28.3%,,,,,,,,,,0.48,0.637,1.118,3149,19.1%,,,108,192,36.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Luc Robitaille,1966,F,1431,668,726,1394,1177,71,,,,,418,247,3,89,7,463,260,3,97,5,881,507,6,186,12,36.4%,,,,,,,,,,0.467,0.507,0.974,3961,16.9%,30,15,31,46,40.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Brett Hull,1964,F,1269,741,650,1391,458,23,,,,,456,265,20,110,12,371,271,8,109,9,827,536,28,219,21,38.5%,,,,,,,,,,0.584,0.512,1.096,4876,15.2%,1,3,28,42,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mike Modano,1970,F,1499,561,813,1374,926,114,,,,,375,157,29,92,9,459,336,18,139,11,834,493,47,231,20,35.9%,,,,,,,,,,0.374,0.542,0.917,4273,13.1%,113,118,8749,8161,51.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Johnny Bucyk,1935,F,1540,556,813,1369,493,-7,,,,,393,159,4,92,0,529,284,0,95,0,922,443,4,187,0,32.4%,,,,,,,,,,0.361,0.528,0.889,3086,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Brendan Shanahan,1969,F,1524,656,698,1354,2489,151,,,,,396,237,23,109,12,414,270,14,126,10,810,507,37,235,22,37.4%,,,,,,,,,,0.43,0.458,0.888,5086,12.9%,205,146,343,366,48.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Guy Lafleur,1951,F,1126,560,793,1353,399,446,,,,,403,154,3,98,0,525,266,2,116,0,928,420,5,214,0,31.0%,,,,,,,,,,0.497,0.704,1.202,3516,15.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
