Year,Film,Nominee,Winner
2023,Oppenheimer,Emily Blunt,FALSE
2023,The Color Purple,Danielle Brooks,FALSE
2023,Barbie,America Ferrera,FALSE
2023,Nyad,Jodie Foster,FALSE
2023,May December,Julianne Moore,FALSE
2024,Emilia Pérez,Zoë Saldaña,TRUE
2024,The Piano Lesson,Danielle Deadwyler,FALSE
2024,Nickel Boys,Aunjanue Ellis-Taylor,FALSE
2024,Wicked,Ariana Grande,FALSE
2024,The Substance,Margaret Qualley,FALSE
2024,Conclave,Isabella Rossellini,FALSE
