Year,Film,Nominee,Winner
2000,Gladiator,Oliver Reed (posthumous),FALSE
2001,Moulin Rouge!,Jim Broadbent,TRUE
2001,Iris,Hugh Bonneville,FALSE
2001,Harry Potter and the Philosopher's Stone,Robbie Coltrane,FALSE
2001,Bridget Jones's Diary,Colin Firth,FALSE
2001,Shrek,"Eddie Murphy .mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)}[A]",FALSE
2002,Catch Me If You Can,Christopher Walken,TRUE
2002,Adaptation,Chris Cooper,FALSE
2002,The Hours,Ed Harris,FALSE
2002,Frida,Alfred Molina,FALSE
2002,Road to Perdition,Paul Newman,FALSE
2003,Love Actually,Bill Nighy,TRUE
2003,Master and Commander: The Far Side of the World,Paul Bettany,FALSE
2003,Big Fish,Albert Finney,FALSE
2003,The Lord of the Rings: The Return of the King,Ian McKellen,FALSE
2003,Mystic River,Tim Robbins,FALSE
2004,Closer,Clive Owen,TRUE
2004,The Aviator,Alan Alda,FALSE
2004,Vera Drake,Phil Davis,FALSE
2004,The Motorcycle Diaries,Rodrigo de la Serna,FALSE
2004,Collateral,Jamie Foxx,FALSE
2005,Brokeback Mountain,Jake Gyllenhaal,TRUE
2005,Crash,Don Cheadle,FALSE
2005,"Good Night, and Good Luck",George Clooney,FALSE
2005,Syriana,George Clooney,FALSE
2005,Crash,Matt Dillon,FALSE
2006,Little Miss Sunshine,Alan Arkin,TRUE
2006,The Last King of Scotland,James McAvoy,FALSE
2006,The Departed,Jack Nicholson,FALSE
2006,Venus,Leslie Phillips,FALSE
2006,The Queen,Michael Sheen,FALSE
2007,No Country for Old Men,Javier Bardem,TRUE
2007,There Will Be Blood,Paul Dano,FALSE
2007,Charlie Wilson's War,Philip Seymour Hoffman,FALSE
2007,No Country for Old Men,Tommy Lee Jones,FALSE
2007,Michael Clayton,Tom Wilkinson,FALSE
2008,The Dark Knight,Heath Ledger (posthumous),TRUE
2008,Tropic Thunder,Robert Downey Jr.,FALSE
2008,In Bruges,Brendan Gleeson,FALSE
2008,Doubt,Philip Seymour Hoffman,FALSE
2008,Burn After Reading,Brad Pitt,FALSE
2009,Inglourious Basterds,Christoph Waltz,TRUE
2009,It's Complicated,Alec Baldwin,FALSE
2009,Me and Orson Welles,Christian McKay,FALSE
2009,An Education,Alfred Molina,FALSE
2009,The Lovely Bones,Stanley Tucci,FALSE
2010,The King's Speech,Geoffrey Rush,TRUE
2010,The Fighter,Christian Bale,FALSE
2010,The Social Network,Andrew Garfield,FALSE
2010,The Town,Pete Postlethwaite (posthumous),FALSE
2010,The Kids Are All Right,Mark Ruffalo,FALSE
2011,Beginners,Christopher Plummer,TRUE
2011,My Week with Marilyn,Kenneth Branagh,FALSE
2011,The Iron Lady,Jim Broadbent,FALSE
2011,Moneyball,Jonah Hill,FALSE
2011,The Ides of March,Philip Seymour Hoffman,FALSE
2012,Django Unchained,Christoph Waltz,TRUE
2012,Argo,Alan Arkin,FALSE
2012,Skyfall,Javier Bardem,FALSE
2012,The Master,Philip Seymour Hoffman,FALSE
2012,Lincoln,Tommy Lee Jones,FALSE
2013,Captain Phillips,Barkhad Abdi,TRUE
2013,Rush,Daniel Brühl,FALSE
2013,American Hustle,Bradley Cooper,FALSE
2013,Behind the Candelabra,Matt Damon,FALSE
2013,12 Years a Slave,Michael Fassbender,FALSE
2014,Whiplash,J. K. Simmons,TRUE
2014,Foxcatcher,Steve Carell,FALSE
2014,Boyhood,Ethan Hawke,FALSE
2014,Birdman,Edward Norton,FALSE
2014,Foxcatcher,Mark Ruffalo,FALSE
2015,Bridge of Spies,Mark Rylance,TRUE
2015,The Big Short,Christian Bale,FALSE
2015,Sicario,Benicio del Toro,FALSE
2015,Beasts of No Nation,Idris Elba,FALSE
2015,Spotlight,Mark Ruffalo,FALSE
2016,Lion,Dev Patel,TRUE
2016,Moonlight,Mahershala Ali,FALSE
2016,Hell or High Water,Jeff Bridges,FALSE
2016,Florence Foster Jenkins,Hugh Grant,FALSE
2016,Nocturnal Animals,Aaron Taylor-Johnson,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Sam Rockwell,TRUE
2017,The Florida Project,Willem Dafoe,FALSE
2017,Paddington 2,Hugh Grant,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Woody Harrelson,FALSE
2017,All the Money in the World,Christopher Plummer,FALSE
2018,Green Book,Mahershala Ali,TRUE
2018,Beautiful Boy,Timothée Chalamet,FALSE
2018,BlacKkKlansman,Adam Driver,FALSE
2018,Can You Ever Forgive Me?,Richard E. Grant,FALSE
2018,Vice,Sam Rockwell,FALSE
2019,Once Upon a Time in Hollywood,Brad Pitt,TRUE
2019,A Beautiful Day in the Neighborhood,Tom Hanks,FALSE
2019,The Two Popes,Anthony Hopkins,FALSE
2019,The Irishman,Al Pacino,FALSE
2019,The Irishman,Joe Pesci,FALSE
