Year,Film,Nominee,Winner
2009,The Hangover,Jon Lucas and Scott Moore,FALSE
2009,Inglourious Basterds,Quentin Tarantino,FALSE
2009,A Serious Man,Joel Coen and Ethan Coen,FALSE
2009,Up,Pete Docter and Bob Peterson,FALSE
2010,The King's Speech,David Seidler,TRUE
2010,Black Swan,Mark Heyman andres Heinz and John McLaughlin,FALSE
2010,The Fighter,"Scott Silver, Paul Tamasy and Eric Johnson",FALSE
2010,Inception,Christopher Nolan,FALSE
2010,The Kids Are All Right,Lisa Cholodenko and Stuart Blumberg,FALSE
2011,The Artist,Michel Hazanavicius,TRUE
2011,Bridesmaids,Kristen Wiig and Annie Mumolo,FALSE
2011,The Guard,John Michael McDonagh,FALSE
2011,The Iron Lady,Abi Morgan,FALSE
2011,Midnight in Paris,Woody Allen,FALSE
2012,Django Unchained,Quentin Tarantino,TRUE
2012,Amour,Michael Haneke,FALSE
2012,The Master,Paul Thomas Anderson,FALSE
2012,Moonrise Kingdom,Wes Anderson and Roman Coppola,FALSE
2012,Zero Dark Thirty,Mark Boal,FALSE
2013,American Hustle,Eric Warren Singer and David O. Russell,TRUE
2013,Blue Jasmine,Woody Allen,FALSE
2013,Gravity,Alfonso Cuarón and Jonás Cuarón,FALSE
2013,Inside Llewyn Davis,Joel Coen and Ethan Coen,FALSE
2013,Nebraska,Bob Nelson,FALSE
2014,The Grand Budapest Hotel,Wes Anderson and Hugo Guinness,TRUE
2014,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris Jr. and Armando Bo",FALSE
2014,Boyhood,Richard Linklater,FALSE
2014,Nightcrawler,Dan Gilroy,FALSE
2014,Whiplash,Damien Chazelle,FALSE
2015,Spotlight,Tom McCarthy and Josh Singer,TRUE
2015,Bridge of Spies,"Matt Charman, Joel Coen and Ethan Coen",FALSE
2015,Ex Machina,Alex Garland,FALSE
2015,The Hateful Eight,Quentin Tarantino,FALSE
2015,Inside Out,"Pete Docter, Josh Cooley and Meg LeFauve",FALSE
2016,Manchester by the Sea,Kenneth Lonergan,TRUE
2016,Hell or High Water,Taylor Sheridan,FALSE
2016,"I, Daniel Blake",Paul Laverty,FALSE
2016,La La Land,Damien Chazelle,FALSE
2016,Moonlight,Barry Jenkins,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,TRUE
2017,Get Out,Jordan Peele,FALSE
2017,"I, Tonya",Steven Rogers,FALSE
2017,Lady Bird,Greta Gerwig,FALSE
2017,The Shape of Water,Guillermo del Toro and Vanessa Taylor,FALSE
2018,The Favourite,Deborah Davis and Tony McNamara,TRUE
2018,Cold War,Paweł Pawlikowski and Janusz Głowacki,FALSE
2018,Green Book,"Nick Vallelonga, Brian Hayes Currie and Peter Farrelly",FALSE
2018,Roma,Alfonso Cuarón,FALSE
2018,Vice,Adam McKay,FALSE
2019,Parasite,Han Jin Won and Bong Joon-ho,TRUE
2019,Booksmart,"Susanna Fogel, Emily Halpern, Sarah Haskins and Katie Silberman",FALSE
2019,Marriage Story,Noah Baumbach,FALSE
2019,Knives Out,Rian Johnson,FALSE
2019,Once Upon a Time in Hollywood,Quentin Tarantino,FALSE
2020,Promising Young Woman,Emerald Fennell,TRUE
2020,Another Round,Tobias Lindholm and Thomas Vinterberg,FALSE
2020,Mank,Jack Fincher,FALSE
2020,Rocks,Theresa Ikoko and Claire Wilson,FALSE
2020,The Trial of the Chicago 7,Aaron Sorkin,FALSE
2021,Licorice Pizza,Paul Thomas Anderson,TRUE
2021,Being the Ricardos,Aaron Sorkin,FALSE
2021,Belfast,Kenneth Branagh,FALSE
2021,Don't Look Up,Adam McKay,FALSE
2021,King Richard,Zach Baylin,FALSE
2022,The Banshees of Inisherin,Martin McDonagh,TRUE
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,FALSE
2022,The Fabelmans,Tony Kushner and Steven Spielberg,FALSE
2022,Tár,Todd Field,FALSE
2022,Triangle of Sadness,Ruben Östlund,FALSE
2023,Anatomy of a Fall,Justine Triet and Arthur Harari,TRUE
2023,Barbie,Greta Gerwig and Noah Baumbach,FALSE
2023,The Holdovers,David Hemingson,FALSE
2023,Maestro,Bradley Cooper and Josh Singer,FALSE
2023,Past Lives,Celine Song,FALSE
2024,A Real Pain,Jesse Eisenberg,TRUE
2024,Anora,Sean Baker,FALSE
2024,The Brutalist,Brady Corbet and Mona Fastvold,FALSE
2024,Kneecap,"Rich Peppiatt, Naoise Ó Cairealláin, Liam Óg Ó Hannaidh, and JJ Ó Dochartaigh",FALSE
2024,The Substance,Coralie Fargeat,FALSE
