Year,Film,Nominee,Winner
2022,The Whale,Brendan Fraser,TRUE
2022,Elvis,Austin Butler,FALSE
2022,Top Gun: Maverick,Tom Cruise,FALSE
2022,The Banshees of Inisherin,Colin Farrell,FALSE
2022,Aftersun,Paul Mescal,FALSE
2022,Living,Bill Nighy,FALSE
2023,The Holdovers,Paul Giamatti,TRUE
2023,Maestro,Bradley Cooper,FALSE
2023,Killers of the Flower Moon,Leonardo DiCaprio,FALSE
2023,Rustin,Colman Domingo,FALSE
2023,Oppenheimer,Cillian Murphy,FALSE
2023,American Fiction,Jeffrey Wright,FALSE
2024,The Brutalist,Adrien Brody,TRUE
2024,A Complete Unknown,Timothée Chalamet,FALSE
2024,Queer,Daniel Craig,FALSE
2024,Sing Sing,Colman Domingo,FALSE
2024,Conclave,Ralph Fiennes,FALSE
2024,Heretic,Hugh Grant,FALSE
