Year,Film,Nominee,Winner
1978,Foul Play,Chevy Chase,FALSE
1978,Movie Movie,George C. Scott,FALSE
1978,Grease,John Travolta,FALSE
1979,Being There,Peter Sellers,TRUE
1979,Love at First Bite,George Hamilton,FALSE
1979,10,Dudley Moore,FALSE
1979,Starting Over,Burt Reynolds,FALSE
1979,All That Jazz,Roy Scheider,FALSE
1980,The Idolmaker,Ray Sharkey,TRUE
1980,The Jazz Singer,Neil Diamond,FALSE
1980,Coal Miner's Daughter,Tommy Lee Jones,FALSE
1980,Melvin and Howard,Paul Le Mat,FALSE
1980,Hopscotch,Walter Matthau,FALSE
1981,Arthur,Dudley Moore,TRUE
1981,The Four Seasons,Alan Alda,FALSE
1981,"Zorro, The Gay Blade",George Hamilton,FALSE
1981,Pennies from Heaven,Steve Martin,FALSE
1981,First Monday in October,Walter Matthau,FALSE
1982,Tootsie,Dustin Hoffman,TRUE
1982,My Favorite Year,Peter O'Toole,FALSE
1982,Author! Author!,Al Pacino,FALSE
1982,Victor Victoria,Robert Preston,FALSE
1982,Night Shift,Henry Winkler,FALSE
1983,Educating Rita,Michael Caine,TRUE
1983,Zelig,Woody Allen,FALSE
1983,Risky Business,Tom Cruise,FALSE
1983,Trading Places,Eddie Murphy,FALSE
1983,Yentl,Mandy Patinkin,FALSE
1984,Micki & Maude,Dudley Moore,TRUE
1984,All of Me,Steve Martin,FALSE
1984,Beverly Hills Cop,Eddie Murphy,FALSE
1984,Ghostbusters,Bill Murray,FALSE
1984,Moscow on the Hudson,Robin Williams,FALSE
1985,Prizzi's Honor,Jack Nicholson,TRUE
1985,The Purple Rose of Cairo,Jeff Daniels,FALSE
1985,After Hours,Griffin Dunne,FALSE
1985,Back to the Future,Michael J. Fox,FALSE
1985,Murphy's Romance,James Garner,FALSE
1986,Crocodile Dundee,Paul Hogan,TRUE
1986,Ferris Bueller's Day Off,Matthew Broderick,FALSE
1986,Something Wild,Jeff Daniels,FALSE
1986,Ruthless People,Danny DeVito,FALSE
1986,That's Life!,Jack Lemmon,FALSE
1987,"Good Morning, Vietnam",Robin Williams,TRUE
1987,Moonstruck,Nicolas Cage,FALSE
1987,Throw Momma from the Train,Danny DeVito,FALSE
1987,Broadcast News,William Hurt,FALSE
1987,Roxanne,Steve Martin,FALSE
1987,Dirty Dancing,Patrick Swayze,FALSE
1988,Big,Tom Hanks,TRUE
1988,Dirty Rotten Scoundrels,Michael Caine,FALSE
1988,A Fish Called Wanda,John Cleese,FALSE
1988,Midnight Run,Robert De Niro,FALSE
1988,Who Framed Roger Rabbit,Bob Hoskins,FALSE
1989,Driving Miss Daisy,Morgan Freeman,TRUE
1989,When Harry Met Sally...,Billy Crystal,FALSE
1989,The War of the Roses,Michael Douglas,FALSE
1989,Parenthood,Steve Martin,FALSE
1989,Batman,Jack Nicholson,FALSE
1990,Green Card,Gérard Depardieu,TRUE
1990,Home Alone,Macaulay Culkin,FALSE
1990,Edward Scissorhands,Johnny Depp,FALSE
1990,Pretty Woman,Richard Gere,FALSE
1990,Ghost,Patrick Swayze,FALSE
1991,The Fisher King,Robin Williams,TRUE
1991,The Fisher King,Jeff Bridges,FALSE
1991,City Slickers,Billy Crystal,FALSE
1991,Hook,Dustin Hoffman,FALSE
1991,Soapdish,Kevin Kline,FALSE
1992,The Player,Tim Robbins,TRUE
1992,Honeymoon in Vegas,Nicolas Cage,FALSE
1992,Mr. Saturday Night,Billy Crystal,FALSE
1992,Used People,Marcello Mastroianni,FALSE
1992,Bob Roberts,Tim Robbins,FALSE
1993,Mrs. Doubtfire,Robin Williams,TRUE
1993,Benny & Joon,Johnny Depp,FALSE
1993,Sleepless in Seattle,Tom Hanks,FALSE
1993,Dave,Kevin Kline,FALSE
1993,The Snapper,Colm Meaney,FALSE
1994,Four Weddings and a Funeral,Hugh Grant,TRUE
1994,The Mask,Jim Carrey,FALSE
1994,Ed Wood,Johnny Depp,FALSE
1994,Junior,Arnold Schwarzenegger,FALSE
1994,"The Adventures of Priscilla, Queen of the Desert",Terence Stamp,FALSE
1995,Get Shorty,John Travolta,TRUE
