Year,Film,Nominee,Winner
1960,Sons and Lovers,Mary Ure,FALSE
1961,West Side Story,Rita Moreno ‡,TRUE
1961,The Children's Hour,Fay Bainter,FALSE
1961,Judgment at Nuremberg,Judy Garland,FALSE
1961,The Roman Spring of Mrs. Stone,Lotte Lenya,FALSE
1961,Summer and Smoke,Una Merkel,FALSE
1962,The Miracle Worker,Patty Duke ‡,TRUE
1962,To Kill a Mockingbird,Mary Badham,FALSE
1962,Sweet Bird of Youth,Shirley Knight,FALSE
1962,The Manchurian Candidate,Angela Lansbury,FALSE
1962,Birdman of Alcatraz,Thelma Ritter,FALSE
1963,The V.I.P.s,Margaret Rutherford ‡,TRUE
1963,Tom Jones,Diane Cilento,FALSE
1963,Tom Jones,Edith Evans,FALSE
1963,Tom Jones,Joyce Redman,FALSE
1963,Lilies of the Field,Lilia Skala,FALSE
1964,Zorba the Greek,Lila Kedrova ‡,TRUE
1964,My Fair Lady,Gladys Cooper,FALSE
1964,The Chalk Garden,Edith Evans,FALSE
1964,The Night of the Iguana,Grayson Hall,FALSE
1964,"Hush...Hush, Sweet Charlotte",Agnes Moorehead,FALSE
1965,A Patch of Blue,Shelley Winters ‡,TRUE
1965,Inside Daisy Clover,Ruth Gordon,FALSE
1965,Othello,Joyce Redman,FALSE
1965,Othello,Maggie Smith,FALSE
1965,The Sound of Music,Peggy Wood,FALSE
1966,Who's Afraid of Virginia Woolf?,Sandy Dennis ‡,TRUE
1966,A Man for All Seasons,Wendy Hiller,FALSE
1966,Hawaii,Jocelyne LaGarde,FALSE
1966,Alfie,Vivien Merchant,FALSE
1966,You're a Big Boy Now,Geraldine Page,FALSE
1967,Bonnie and Clyde,Estelle Parsons ‡,TRUE
1967,Thoroughly Modern Millie,Carol Channing,FALSE
1967,Barefoot in the Park,Mildred Natwick,FALSE
1967,Guess Who's Coming to Dinner,Beah Richards,FALSE
1967,The Graduate,Katharine Ross,FALSE
1968,Rosemary's Baby,Ruth Gordon ‡,TRUE
1968,Faces,Lynn Carlin,FALSE
1968,The Heart Is a Lonely Hunter,Sondra Locke,FALSE
1968,Funny Girl,Kay Medford,FALSE
1968,"Rachel, Rachel",Estelle Parsons,FALSE
1969,Cactus Flower,Goldie Hawn ‡,TRUE
1969,Last Summer,Catherine Burns,FALSE
1969,Bob & Carol & Ted & Alice,Dyan Cannon,FALSE
1969,Midnight Cowboy,Sylvia Miles,FALSE
1969,"They Shoot Horses, Don't They?",Susannah York,FALSE
1970,Airport,Helen Hayes ‡,TRUE
1970,Five Easy Pieces,Karen Black,FALSE
1970,The Landlord,Lee Grant,FALSE
1970,M*A*S*H,Sally Kellerman,FALSE
1970,Airport,Maureen Stapleton,FALSE
1971,The Last Picture Show,Cloris Leachman ‡,TRUE
1971,Carnal Knowledge,Ann-Margret,FALSE
1971,The Last Picture Show,Ellen Burstyn,FALSE
1971,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Barbara Harris,FALSE
1971,The Go-Between,Margaret Leighton,FALSE
1972,Butterflies Are Free,Eileen Heckart ‡,TRUE
1972,The Heartbreak Kid,Jeannie Berlin,FALSE
1972,Pete 'n' Tillie,Geraldine Page,FALSE
1972,Fat City,Susan Tyrrell,FALSE
1972,The Poseidon Adventure,Shelley Winters,FALSE
1973,Paper Moon,Tatum O'Neal ‡,TRUE
1973,The Exorcist,Linda Blair,FALSE
1973,American Graffiti,Candy Clark,FALSE
1973,Paper Moon,Madeline Kahn,FALSE
1973,"Summer Wishes, Winter Dreams",Sylvia Sidney,FALSE
1974,Murder on the Orient Express,Ingrid Bergman ‡,TRUE
1974,Day for Night,Valentina Cortese,FALSE
1974,Blazing Saddles,Madeline Kahn,FALSE
1974,Alice Doesn't Live Here Anymore,Diane Ladd,FALSE
1974,The Godfather Part II,Talia Shire,FALSE
1975,Shampoo,Lee Grant ‡,TRUE
1975,Nashville,Ronee Blakley,FALSE
1975,"Farewell, My Lovely",Sylvia Miles,FALSE
1975,Nashville,Lily Tomlin,FALSE
1975,Once Is Not Enough,Brenda Vaccaro,FALSE
1976,Network,Beatrice Straight ‡,TRUE
1976,All the President's Men,Jane Alexander,FALSE
1976,Taxi Driver,Jodie Foster,FALSE
1976,Voyage of the Damned,Lee Grant,FALSE
