Year,Film,Nominee,Winner
1960,The Facts of Life,Melvin Frank & Norman Panama,FALSE
1960,"Hiroshima, Mon Amour",Marguerite Duras,FALSE
1960,Never on Sunday,Jules Dassin,FALSE
1961,Splendor in the Grass,William Inge‡,TRUE
1961,Ballad of a Soldier,Grigory Chukhray & Valentin Yezhov,FALSE
1961,General Della Rovere,"Sergio Amidei, Diego Fabbi & Indro Montanelli",FALSE
1961,La Dolce Vita,"Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi",FALSE
1961,Lover Come Back,Paul Henning & Stanley Shapiro,FALSE
1962,Divorce Italian Style,"Ennio De Concini, Pietro Germi & Alfredo Giannetti‡",TRUE
1962,Freud,Screenplay: Charles Kaufman & Wolfgang Reinhardt; Story: Kaufman,FALSE
1962,Last Year at Marienbad,Alain Robbe-Grillet,FALSE
1962,That Touch of Mink,Nate Monaster & Stanley Shapiro,FALSE
1962,Through a Glass Darkly,Ingmar Bergman,FALSE
1963,How the West Was Won,James R. Webb‡,TRUE
1963,America America,Elia Kazan,FALSE
1963,8½,"Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi",FALSE
1963,The Four Days of Naples,"Screenplay: Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa & Nanni Loy; Story: Campanile, Franciosa, Loy & Vasco Pratolini",FALSE
1963,Love with the Proper Stranger,Arnold Schulman,FALSE
1964,Father Goose,Screenplay: Peter Stone & Frank Tarloff; Story: S. H. Barnett ‡,TRUE
1964,A Hard Day's Night,Alun Owen,FALSE
1964,"One Potato, Two Potato",Screenplay: Orville H. Hampton; Story: Raphael Hayes,FALSE
1964,The Organizer,"Age, Mario Monicelli & Furio Scarpelli",FALSE
1964,That Man from Rio,"Daniel Boulanger, Philippe de Broca, Ariane Mnouchkine & Jean-Paul Rappeneau",FALSE
1965,Darling,Frederic Raphael‡,TRUE
1965,Casanova 70,"Age, Suso Cecchi d'Amico, Tonino Guerra, Mario Monicelli, Giorgio Salvioni & Furio Scarpelli",FALSE
