Year,Film,Nominee,Winner
1977,Equus,Richard Burton,TRUE
1977,A Special Day,Marcello Mastroianni,FALSE
1977,Bobby Deerfield,Al Pacino,FALSE
1977,MacArthur,Gregory Peck,FALSE
1977,Heroes,Henry Winkler,FALSE
1978,Coming Home,Jon Voight,TRUE
1978,Midnight Express,Brad Davis,FALSE
1978,The Deer Hunter,Robert De Niro,FALSE
1978,Magic,Anthony Hopkins,FALSE
1978,The Boys from Brazil,Gregory Peck,FALSE
1979,Kramer vs. Kramer,Dustin Hoffman,TRUE
1979,The China Syndrome,Jack Lemmon,FALSE
1979,...And Justice for All,Al Pacino,FALSE
1979,The Champ,Jon Voight,FALSE
1979,The Onion Field,James Woods,FALSE
1980,Raging Bull,Robert De Niro,TRUE
1980,The Elephant Man,John Hurt,FALSE
1980,Tribute,Jack Lemmon,FALSE
1980,The Stunt Man,Peter O'Toole,FALSE
1980,Ordinary People,Donald Sutherland,FALSE
1981,On Golden Pond,Henry Fonda,TRUE
1981,Reds,Warren Beatty,FALSE
1981,Taps,Timothy Hutton,FALSE
1981,Atlantic City,Burt Lancaster,FALSE
1981,Prince of the City,Treat Williams,FALSE
1982,Gandhi,Ben Kingsley,TRUE
1982,Shoot the Moon,Albert Finney,FALSE
1982,An Officer and a Gentleman,Richard Gere,FALSE
1982,Missing,Jack Lemmon,FALSE
1982,The Verdict,Paul Newman,FALSE
1983,The Dresser,Tom Courtenay,TRUE
1983,Tender Mercies,Robert Duvall,FALSE
1983,"Reuben, Reuben",Tom Conti,FALSE
1983,The Grey Fox,Richard Farnsworth,FALSE
1983,The Dresser,Albert Finney,FALSE
1983,Scarface,Al Pacino,FALSE
1983,Star 80,Eric Roberts,FALSE
1984,Amadeus,F. Murray Abraham,TRUE
1984,Starman,Jeff Bridges,FALSE
1984,Under the Volcano,Albert Finney,FALSE
1984,Amadeus,Tom Hulce,FALSE
1984,The Killing Fields,Sam Waterston,FALSE
1985,Runaway Train,Jon Voight,TRUE
1985,Witness,Harrison Ford,FALSE
1985,Twice in a Lifetime,Gene Hackman,FALSE
1985,Kiss of the Spider Woman,William Hurt,FALSE
1985,Kiss of the Spider Woman,Raul Julia,FALSE
1986,Mona Lisa,Bob Hoskins,TRUE
1986,The Mosquito Coast,Harrison Ford,FALSE
1986,Round Midnight,Dexter Gordon,FALSE
1986,Children of a Lesser God,William Hurt,FALSE
1986,The Mission,Jeremy Irons,FALSE
1986,The Color of Money,Paul Newman,FALSE
1987,Wall Street,Michael Douglas,TRUE
1987,The Last Emperor,John Lone,FALSE
1987,Ironweed,Jack Nicholson,FALSE
1987,Weeds,Nick Nolte,FALSE
1987,Cry Freedom,Denzel Washington,FALSE
1988,Rain Man,Dustin Hoffman,TRUE
1988,Mississippi Burning,Gene Hackman,FALSE
1988,Dominick and Eugene,Tom Hulce,FALSE
1988,Stand and Deliver,Edward James Olmos,FALSE
1988,Bird,Forest Whitaker,FALSE
1989,Born on the Fourth of July,Tom Cruise,TRUE
1989,My Left Foot,Daniel Day-Lewis,FALSE
1989,Dad,Jack Lemmon,FALSE
1989,Sea of Love,Al Pacino,FALSE
1989,Dead Poets Society,Robin Williams,FALSE
1990,Reversal of Fortune,Jeremy Irons,TRUE
1990,Dances with Wolves,Kevin Costner,FALSE
1990,The Field,Richard Harris,FALSE
