Year,Film,Nominee,Winner
1998,Life Is Beautiful,Roberto Benigni,TRUE
1998,Little Voice,Michael Caine,FALSE
1998,Shakespeare in Love,Joseph Fiennes,FALSE
1998,Saving Private Ryan,Tom Hanks,FALSE
1999,American Beauty,Kevin Spacey,TRUE
1999,Topsy-Turvy,Jim Broadbent,FALSE
1999,The Insider,Russell Crowe,FALSE
1999,The End of the Affair,Ralph Fiennes,FALSE
1999,East is East,Om Puri,FALSE
2000,Billy Elliot,Jamie Bell,TRUE
2000,Gladiator,Russell Crowe,FALSE
2000,Wonder Boys,Michael Douglas,FALSE
2000,Cast Away,Tom Hanks,FALSE
2000,Quills,Geoffrey Rush,FALSE
2001,A Beautiful Mind,Russell Crowe,TRUE
2001,Iris,Jim Broadbent,FALSE
2001,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,FALSE
2001,The Shipping News,Kevin Spacey,FALSE
2001,In the Bedroom,Tom Wilkinson,FALSE
2002,Gangs of New York,Daniel Day-Lewis,TRUE
2002,The Pianist,Adrien Brody,FALSE
2002,Adaptation,Nicolas Cage,FALSE
2002,The Quiet American,Michael Caine,FALSE
2002,About Schmidt,Jack Nicholson,FALSE
2003,Lost in Translation,Bill Murray,TRUE
2003,21 Grams,Benicio del Toro,FALSE
2003,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,FALSE
2003,Cold Mountain,Jude Law,FALSE
2003,21 Grams,Sean Penn,FALSE
2003,Mystic River,Sean Penn,FALSE
2004,Ray,Jamie Foxx,TRUE
2004,Eternal Sunshine of the Spotless Mind,Jim Carrey,FALSE
2004,Finding Neverland,Johnny Depp,FALSE
2004,The Aviator,Leonardo DiCaprio,FALSE
2004,The Motorcycle Diaries,Gael García Bernal,FALSE
2005,Capote,Philip Seymour Hoffman,TRUE
2005,The Constant Gardener,Ralph Fiennes,FALSE
2005,Brokeback Mountain,Heath Ledger,FALSE
2005,Walk the Line,Joaquin Phoenix,FALSE
2005,"Good Night, and Good Luck",David Strathairn,FALSE
2006,The Last King of Scotland,Forest Whitaker,TRUE
2006,Casino Royale,Daniel Craig,FALSE
2006,The Departed,Leonardo DiCaprio,FALSE
2006,The History Boys,Richard Griffiths,FALSE
2006,Venus,Peter O'Toole,FALSE
2007,There Will Be Blood,Daniel Day-Lewis,TRUE
2007,Michael Clayton,George Clooney,FALSE
2007,Atonement,James McAvoy,FALSE
2007,Eastern Promises,Viggo Mortensen,FALSE
2007,The Lives of Others,Ulrich Mühe (posthumous),FALSE
2008,The Wrestler,Mickey Rourke,TRUE
2008,Frost/Nixon,Frank Langella,FALSE
2008,Slumdog Millionaire,Dev Patel,FALSE
2008,Milk,Sean Penn,FALSE
2008,The Curious Case of Benjamin Button,Brad Pitt,FALSE
2009,A Single Man,Colin Firth,TRUE
2009,Crazy Heart,Jeff Bridges,FALSE
2009,Up in the Air,George Clooney,FALSE
2009,The Hurt Locker,Jeremy Renner,FALSE
2009,Sex & Drugs & Rock & Roll,Andy Serkis,FALSE
2010,The King's Speech,Colin Firth,TRUE
2010,Biutiful,Javier Bardem,FALSE
2010,True Grit,Jeff Bridges,FALSE
2010,The Social Network,Jesse Eisenberg,FALSE
2010,127 Hours,James Franco,FALSE
2011,The Artist,Jean Dujardin,TRUE
2011,The Descendants,George Clooney,FALSE
2011,Shame,Michael Fassbender,FALSE
2011,Tinker Tailor Soldier Spy,Gary Oldman,FALSE
2011,Moneyball,Brad Pitt,FALSE
2012,Lincoln,Daniel Day-Lewis,TRUE
2012,Argo,Ben Affleck,FALSE
2012,Silver Linings Playbook,Bradley Cooper,FALSE
2012,Les Misérables,Hugh Jackman,FALSE
2012,The Master,Joaquin Phoenix,FALSE
2013,12 Years a Slave,Chiwetel Ejiofor,TRUE
2013,American Hustle,Christian Bale,FALSE
2013,Nebraska,Bruce Dern,FALSE
2013,The Wolf of Wall Street,Leonardo DiCaprio,FALSE
2013,Captain Phillips,Tom Hanks,FALSE
2014,The Theory of Everything,Eddie Redmayne,TRUE
2014,The Imitation Game,Benedict Cumberbatch,FALSE
2014,The Grand Budapest Hotel,Ralph Fiennes,FALSE
2014,Nightcrawler,Jake Gyllenhaal,FALSE
2014,Birdman,Michael Keaton,FALSE
2015,The Revenant,Leonardo DiCaprio,TRUE
2015,Trumbo,Bryan Cranston,FALSE
2015,The Martian,Matt Damon,FALSE
2015,Steve Jobs,Michael Fassbender,FALSE
2015,The Danish Girl,Eddie Redmayne,FALSE
2016,Manchester by the Sea,Casey Affleck,TRUE
2016,Hacksaw Ridge,Andrew Garfield,FALSE
2016,La La Land,Ryan Gosling,FALSE
2016,Nocturnal Animals,Jake Gyllenhaal,FALSE
2016,Captain Fantastic,Viggo Mortensen,FALSE
2017,Darkest Hour,Gary Oldman,TRUE
2017,Film Stars Don't Die in Liverpool,Jamie Bell,FALSE
2017,Call Me by Your Name,Timothée Chalamet,FALSE
2017,Phantom Thread,Daniel Day-Lewis,FALSE
2017,Get Out,Daniel Kaluuya,FALSE
2018,Bohemian Rhapsody,Rami Malek,TRUE
2018,Vice,Christian Bale,FALSE
2018,Stan & Ollie,Steve Coogan,FALSE
2018,A Star Is Born,Bradley Cooper,FALSE
2018,Green Book,Viggo Mortensen,FALSE
2019,Joker,Joaquin Phoenix,TRUE
2019,Once Upon a Time in Hollywood,Leonardo DiCaprio,FALSE
2019,Marriage Story,Adam Driver,FALSE
2019,Rocketman,Taron Egerton,FALSE
2019,The Two Popes,Jonathan Pryce,FALSE
2020,The Father,Anthony Hopkins,TRUE
2020,Sound of Metal,Riz Ahmed,FALSE
2020,Ma Rainey's Black Bottom,Chadwick Boseman (posthumous),FALSE
2020,The White Tiger,Adarsh Gourav,FALSE
2020,Another Round,Mads Mikkelsen,FALSE
2020,The Mauritanian,Tahar Rahim,FALSE
2021,King Richard,Will Smith,TRUE
2021,Ali & Ava,Adeel Akhtar,FALSE
2021,Swan Song,Mahershala Ali,FALSE
2021,The Power of the Dog,Benedict Cumberbatch,FALSE
2021,Don't Look Up,Leonardo DiCaprio,FALSE
2021,Boiling Point,Stephen Graham,FALSE
2022,Elvis,Austin Butler,TRUE
2022,The Banshees of Inisherin,Colin Farrell,FALSE
2022,The Whale,Brendan Fraser,FALSE
2022,"Good Luck to You, Leo Grande",Daryl McCormack,FALSE
2022,Aftersun,Paul Mescal,FALSE
2022,Living,Bill Nighy,FALSE
2023,Oppenheimer,Cillian Murphy,TRUE
2023,Maestro,Bradley Cooper,FALSE
2023,Rustin,Colman Domingo,FALSE
2023,The Holdovers,Paul Giamatti,FALSE
2023,Saltburn,Barry Keoghan,FALSE
2023,Past Lives,Teo Yoo,FALSE
2024,The Brutalist,Adrien Brody,TRUE
2024,A Complete Unknown,Timothée Chalamet,FALSE
2024,Sing Sing,Colman Domingo,FALSE
2024,Conclave,Ralph Fiennes,FALSE
2024,Heretic,Hugh Grant,FALSE
2024,The Apprentice,Sebastian Stan,FALSE
