Year,Film,Nominee,Winner
1981,Absence of Malice,Kurt Luedtke,FALSE
1981,Atlantic City,John Guare,FALSE
1981,Body Heat,Lawrence Kasdan,FALSE
1981,Arthur,Steve Gordon,TRUE
1981,Raiders of the Lost Ark,"Lawrence Kasdan, George Lucas, and Philip Kaufman",FALSE
1981,S.O.B.,Blake Edwards,FALSE
1981,The Four Seasons,Alan Alda,FALSE
1982,E.T. the Extra-Terrestrial,Melissa Mathison,TRUE
1982,An Officer and a Gentleman,Douglas Day Stewart,FALSE
1982,Shoot the Moon,Bo Goldman,FALSE
1982,Tootsie,"Don McGuire, Larry Gelbart, and Murray Schisgal",TRUE
1982,Diner,Barry Levinson,FALSE
1982,My Favorite Year,Norman Steinberg and Dennis Palumbo,FALSE
1983,Tender Mercies,Horton Foote,TRUE
1983,Silkwood,Nora Ephron and Alice Arlen,FALSE
1983,WarGames,Lawrence Lasker and Walter F. Parkes,FALSE
1983,The Big Chill,Lawrence Kasdan and Barbara Benedek,TRUE
1983,Risky Business,Paul Brickman,FALSE
1983,Zelig,Woody Allen,FALSE
1984,Broadway Danny Rose,Woody Allen,TRUE
1984,El Norte,Gregory Nava and Anna Thomas,FALSE
1984,Places in the Heart,Robert Benton,FALSE
1984,Romancing the Stone,Diane Thomas,FALSE
1984,Splash,"Lowell Ganz, Babaloo Mandel, Bruce Jay Friedman and Brian Grazer",FALSE
1985,Witness,William Kelley and Earl W. Wallace,TRUE
1985,Back to the Future,Robert Zemeckis and Bob Gale,FALSE
1985,Cocoon,Tom Benedek,FALSE
1985,Mask,Anna Hamilton Phelan,FALSE
1985,The Purple Rose of Cairo,Woody Allen,FALSE
1986,Hannah and Her Sisters,Woody Allen,TRUE
1986,Blue Velvet,David Lynch,FALSE
1986,Mona Lisa,Neil Jordan and David Leland,FALSE
1986,Platoon,Oliver Stone,FALSE
1986,Salvador,Richard Boyle and Oliver Stone,FALSE
1987,Moonstruck,John Patrick Shanley,TRUE
1987,Broadcast News,James L. Brooks,FALSE
1987,Hope and Glory,John Boorman,FALSE
1987,The Last Emperor,Bernardo Bertolucci and Mark Peploe,FALSE
1987,Radio Days,Woody Allen,FALSE
1988,Bull Durham,Ron Shelton,TRUE
1988,Big,Gary Ross and Anne Spielberg,FALSE
1988,A Fish Called Wanda,John Cleese and Charles Crichton,FALSE
1988,Rain Man,Ronald Bass and Barry Morrow,FALSE
1988,Working Girl,Kevin Wade,FALSE
1989,Crimes and Misdemeanors,Woody Allen,TRUE
1989,Dead Poets Society,Tom Schulman,FALSE
1989,The Fabulous Baker Boys,Steve Kloves,FALSE
1989,"Sex, Lies, and Videotape",Steven Soderbergh,FALSE
1989,When Harry Met Sally...,Nora Ephron,FALSE
1990,Avalon,Barry Levinson,TRUE
1990,Alice,Woody Allen,FALSE
1990,Ghost,Bruce Joel Rubin,FALSE
1990,Green Card,Peter Weir,FALSE
1990,Pretty Woman,J. F. Lawton,FALSE
1991,Thelma & Louise,Callie Khouri,TRUE
1991,Boyz n the Hood,John Singleton,FALSE
1991,Bugsy,James Toback,FALSE
1991,The Fisher King,Richard LaGravenese,FALSE
1991,Grand Canyon,Lawrence and Meg Kasdan,FALSE
1992,The Crying Game,Neil Jordan,TRUE
1992,Husbands and Wives,Woody Allen,FALSE
1992,Lorenzo's Oil,Nick Enright and George Miller,FALSE
1992,Passion Fish,John Sayles,FALSE
1992,Unforgiven,David Webb Peoples,FALSE
1993,The Piano,Jane Campion,TRUE
1993,Dave,Gary Ross,FALSE
1993,In the Line of Fire,Jeff Maguire,FALSE
1993,Philadelphia,Ron Nyswaner,FALSE
1993,Sleepless in Seattle,"Jeff Arch, Nora Ephron, and David S. Ward",FALSE
1994,Four Weddings and a Funeral,Richard Curtis,TRUE
1994,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,FALSE
1994,Bullets over Broadway,Woody Allen and Douglas McGrath,FALSE
1994,Ed Wood,Scott Alexander and Larry Karaszewski,FALSE
1994,Heavenly Creatures,Peter Jackson and Fran Walsh,FALSE
1995,Braveheart,Randall Wallace,TRUE
1995,The American President,Aaron Sorkin,FALSE
1995,Clueless,Amy Heckerling,FALSE
1995,Mighty Aphrodite,Woody Allen,FALSE
1995,Muriel's Wedding,P. J. Hogan,FALSE
1996,Fargo,Joel Coen and Ethan Coen,TRUE
1996,Jerry Maguire,Cameron Crowe,FALSE
1996,Lone Star,John Sayles,FALSE
1996,Secrets & Lies,Mike Leigh,FALSE
1996,Shine,Scott Hicks and Jan Sardi,FALSE
1997,As Good as It Gets,James L. Brooks and Mark Andrus,TRUE
1997,Boogie Nights,Paul Thomas Anderson,FALSE
1997,The Full Monty,Simon Beaufoy,FALSE
1997,Good Will Hunting,Ben Affleck and Matt Damon,FALSE
1997,Titanic,James Cameron,FALSE
1998,Shakespeare in Love,Marc Norman and Tom Stoppard,TRUE
1998,Bulworth,Warren Beatty and Jeremy Pikser,FALSE
1998,The Opposite of Sex,Don Roos,FALSE
1998,Saving Private Ryan,Robert Rodat,FALSE
1998,The Truman Show,Andrew Niccol,FALSE
1999,American Beauty,Alan Ball,TRUE
1999,Being John Malkovich,Charlie Kaufman,FALSE
1999,Magnolia,Paul Thomas Anderson,FALSE
1999,The Sixth Sense,M. Night Shyamalan,FALSE
1999,Three Kings,John Ridley and David O. Russell,FALSE
2000,You Can Count on Me,Kenneth Lonergan,TRUE
2000,Almost Famous,Cameron Crowe,FALSE
2000,Best in Show,Christopher Guest and Eugene Levy,FALSE
2000,Billy Elliot,Lee Hall,FALSE
2000,Erin Brockovich,Susannah Grant,FALSE
2001,Gosford Park,Julian Fellowes,TRUE
2001,The Man Who Wasn't There,Joel Coen and Ethan Coen,FALSE
2001,Monster's Ball,Milo Addica and Will Rokos,FALSE
2001,Moulin Rouge!,Baz Luhrmann and Craig Pearce,FALSE
2001,The Royal Tenenbaums,Wes Anderson and Owen Wilson,FALSE
2002,Bowling for Columbine,Michael Moore,TRUE
2002,Antwone Fisher,Antwone Fisher,FALSE
2002,Far from Heaven,Todd Haynes,FALSE
2002,Gangs of New York,"Jay Cocks, Kenneth Lonergan, and Steven Zaillian",FALSE
2002,My Big Fat Greek Wedding,Nia Vardalos,FALSE
2003,Lost in Translation,Sofia Coppola,TRUE
2003,Bend It Like Beckham,"Paul Mayeda Berges, Guljit Bindra, and Gurinder Chadha",FALSE
2003,Dirty Pretty Things,Steven Knight,FALSE
2003,In America,"Jim Sheridan, Kirsten Sheridan, and Naomi Sheridan",FALSE
2003,The Station Agent,Thomas McCarthy,FALSE
2004,Eternal Sunshine of the Spotless Mind,"Pierre Bismuth, Michel Gondry, Charlie Kaufman",TRUE
2004,The Aviator,John Logan,FALSE
