Year,Film,Nominee,Winner
1956,Guys and Dolls,Joseph L. Mankiewicz,FALSE
1956,The Killing,Stanley Kubrick,FALSE
1956,The Man Who Never Was,Ronald Neame,FALSE
1956,The Man with the Golden Arm,Otto Preminger,FALSE
1956,Picnic,Joshua Logan,FALSE
1956,"The Grasshopper (Попрыгунья, Poprygunya)",Samson Samsonov,FALSE
1956,Reach for the Sky,Lewis Gilbert,FALSE
1956,Rebel Without a Cause,Nicholas Ray,FALSE
1956,Shadow (Cień),Jerzy Kawalerowicz,FALSE
1956,Smiles of a Summer Night (Sommarnattens leende),Ingmar Bergman,FALSE
1956,A Town Like Alice,Jack Lee,FALSE
1956,The Trouble with Harry,Alfred Hitchcock,FALSE
1956,War and Peace,King Vidor,FALSE
1956,Yield to the Night,J. Lee Thompson,FALSE
1957,The Bridge on the River Kwai,David Lean,TRUE
1957,12 Angry Men,Sidney Lumet,FALSE
1957,3:10 to Yuma,Delmer Daves,FALSE
1957,The Bachelor Party,Delbert Mann,FALSE
1957,He Who Must Die (Celui qui doit mourir),Jules Dassin,FALSE
1957,Edge of the City,Martin Ritt,FALSE
1957,"Heaven Knows, Mr. Allison",John Huston,FALSE
1957,"Pather Panchali (পথের পাঁচালী, Pôther Pãchali)",Satyajit Ray,FALSE
1957,Paths of Glory,Stanley Kubrick,FALSE
1957,Gates of Paris (Porte des Lilas ),René Clair,FALSE
1957,The Prince and the Showgirl,Laurence Olivier,FALSE
1957,The Shiralee,Leslie Norman,FALSE
1957,That Night!,John Newland,FALSE
1957,The Tin Star,Anthony Mann,FALSE
1957,A Man Escaped (Un condamné à mort s'est échappé),Robert Bresson,FALSE
1957,Windom's Way,Ronald Neame,FALSE
1958,Room at the Top,Jack Clayton,TRUE
1958,"Aparajito (অপরাজিত, Ôporajito)",Satyajit Ray,FALSE
1958,Cat on a Hot Tin Roof,Richard Brooks,FALSE
1958,The Defiant Ones,Stanley Kramer,FALSE
1958,Ice Cold in Alex,J. Lee Thompson,FALSE
1958,Indiscreet,Stanley Donen,FALSE
1958,"The Cranes Are Flying (Летят журавли, Letyat zhuravli)",Mikhail Kalatozov,FALSE
1958,No Down Payment,Martin Ritt,FALSE
1958,Nights of Cabiria (Le notti di Cabiria),Federico Fellini,FALSE
1958,Orders to Kill,Anthony Asquith,FALSE
1958,Sea of Sand,Guy Green,FALSE
1958,The Sheepman,George Marshall,FALSE
1958,Wild Strawberries (Smultronstället),Ingmar Bergman,FALSE
1958,The Young Lions,Edward Dmytryk,FALSE
1959,Ben-Hur,William Wyler,TRUE
1959,Anatomy of a Murder,Otto Preminger,FALSE
1959,The Magician (Ansiktet),Ingmar Bergman,FALSE
1959,The Big Country,William Wyler,FALSE
1959,Compulsion,Richard Fleischer,FALSE
1959,Gigi,Vincente Minnelli,FALSE
1959,Look Back in Anger,Tony Richardson,FALSE
1959,Maigret Sets a Trap (Maigret tend un piège),Jean Delannoy,FALSE
1959,North West Frontier,J. Lee Thompson,FALSE
1959,The Nun's Story,Fred Zinnemann,FALSE
1959,Ashes and Diamonds (Popiół i diament),Andrzej Wajda,FALSE
1959,Sapphire,Basil Dearden,FALSE
