Year,Film,Nominee,Winner,id
2001,A Beautiful Mind,Akiva Goldsman,FALSE,bafta-basp.csv
2001,Bridget Jones's Diary,"Richard Curtis, Andrew Davies, and Helen Fielding",FALSE,bafta-basp.csv
2001,Iris,Richard Eyre and Charles Wood,FALSE,bafta-basp.csv
2001,The Lord of the Rings: The Fellowship of the Ring,"Philippa Boyens, Peter Jackson, and Fran Walsh",FALSE,bafta-basp.csv
2002,Adaptation.,Charlie Kaufman and Donald Kaufman,TRUE,bafta-basp.csv
2002,About a Boy,"Peter Hedges, Chris Weitz, and Paul Weitz",FALSE,bafta-basp.csv
2002,Catch Me If You Can,Jeff Nathanson,FALSE,bafta-basp.csv
2002,The Hours,David Hare,FALSE,bafta-basp.csv
2002,The Pianist,Ronald Harwood,FALSE,bafta-basp.csv
2003,The Lord of the Rings: The Return of the King,"Philippa Boyens, Peter Jackson, and Fran Walsh",TRUE,bafta-basp.csv
2003,Big Fish,John August,FALSE,bafta-basp.csv
2003,Cold Mountain,Anthony Minghella,FALSE,bafta-basp.csv
2003,Girl with a Pearl Earring,Olivia Hetreed,FALSE,bafta-basp.csv
2003,Mystic River,Brian Helgeland,FALSE,bafta-basp.csv
2004,Sideways,Alexander Payne and Jim Taylor,TRUE,bafta-basp.csv
2004,The Chorus,Christophe Barratier and Philippe Lopes-Curval,FALSE,bafta-basp.csv
2004,Closer,Patrick Marber,FALSE,bafta-basp.csv
2004,Finding Neverland,David Magee,FALSE,bafta-basp.csv
2004,The Motorcycle Diaries,José Rivera,FALSE,bafta-basp.csv
2005,Brokeback Mountain,Larry McMurtry and Diana Ossana,TRUE,bafta-basp.csv
2005,Capote,Dan Futterman,FALSE,bafta-basp.csv
2005,The Constant Gardener,Jeffrey Caine,FALSE,bafta-basp.csv
2005,A History of Violence,Josh Olson,FALSE,bafta-basp.csv
2005,Pride & Prejudice,Deborah Moggach,FALSE,bafta-basp.csv
2006,The Last King of Scotland,Jeremy Brock and Peter Morgan,TRUE,bafta-basp.csv
2006,Casino Royale,"Paul Haggis, Neal Purvis, and Robert Wade",FALSE,bafta-basp.csv
2006,The Departed,William Monahan,FALSE,bafta-basp.csv
2006,The Devil Wears Prada,Aline Brosh McKenna,FALSE,bafta-basp.csv
2006,Notes on a Scandal,Patrick Marber,FALSE,bafta-basp.csv
2007,The Diving Bell and the Butterfly,Ronald Harwood,TRUE,bafta-basp.csv
2007,Atonement,Christopher Hampton,FALSE,bafta-basp.csv
2007,The Kite Runner,David Benioff,FALSE,bafta-basp.csv
2007,No Country for Old Men,Joel Coen and Ethan Coen,FALSE,bafta-basp.csv
2007,There Will Be Blood,Paul Thomas Anderson,FALSE,bafta-basp.csv
2008,Slumdog Millionaire,Simon Beaufoy,TRUE,bafta-basp.csv
2008,The Curious Case of Benjamin Button,Eric Roth,FALSE,bafta-basp.csv
2008,Frost/Nixon,Peter Morgan,FALSE,bafta-basp.csv
2008,The Reader,David Hare,FALSE,bafta-basp.csv
2008,Revolutionary Road,Justin Haythe,FALSE,bafta-basp.csv
2009,Up in the Air,Jason Reitman and Sheldon Turner,TRUE,bafta-basp.csv
2009,District 9,Neill Blomkamp and Terri Tatchell,FALSE,bafta-basp.csv
2009,An Education,Nick Hornby,FALSE,bafta-basp.csv
2009,In the Loop,"Simon Blackwell, Jesse Armstrong, Armando Iannucci, and Tony Roche",FALSE,bafta-basp.csv
2009,Precious,Geoffrey Fletcher,FALSE,bafta-basp.csv
2010,The Social Network,Aaron Sorkin,TRUE,bafta-basp.csv
2010,127 Hours,Danny Boyle and Simon Beaufoy,FALSE,bafta-basp.csv
2010,The Girl with the Dragon Tattoo,Rasmus Heisterberg and Nikolaj Arcel,FALSE,bafta-basp.csv
2010,Toy Story 3,Michael Arndt,FALSE,bafta-basp.csv
2010,True Grit,Joel Coen and Ethan Coen,FALSE,bafta-basp.csv
2011,Tinker Tailor Soldier Spy,Bridget O'Connor and Peter Straughan,TRUE,bafta-basp.csv
2011,The Descendants,"Alexander Payne, Nat Faxon, and Jim Rash",FALSE,bafta-basp.csv
2011,The Help,Tate Taylor,FALSE,bafta-basp.csv
2011,The Ides of March,"George Clooney, Beau Willimon, and Grant Heslov",FALSE,bafta-basp.csv
2011,Moneyball,Steven Zaillian and Aaron Sorkin,FALSE,bafta-basp.csv
2012,Silver Linings Playbook,David O. Russell,TRUE,bafta-basp.csv
2012,Argo,Chris Terrio,FALSE,bafta-basp.csv
2012,Beasts of the Southern Wild,Lucy Alibar and Benh Zeitlin,FALSE,bafta-basp.csv
2012,Life of Pi,David Magee,FALSE,bafta-basp.csv
2012,Lincoln,Tony Kushner,FALSE,bafta-basp.csv
2013,Philomena,Steve Coogan and Jeff Pope,TRUE,bafta-basp.csv
2013,12 Years a Slave,John Ridley,FALSE,bafta-basp.csv
2013,Behind the Candelabra,Richard LaGravenese,FALSE,bafta-basp.csv
2013,Captain Phillips,Billy Ray,FALSE,bafta-basp.csv
2013,The Wolf of Wall Street,Terence Winter,FALSE,bafta-basp.csv
2014,The Theory of Everything,Anthony McCarten,TRUE,bafta-basp.csv
2014,American Sniper,Jason Hall,FALSE,bafta-basp.csv
2014,Gone Girl,Gillian Flynn,FALSE,bafta-basp.csv
2014,The Imitation Game,Graham Moore,FALSE,bafta-basp.csv
2014,Paddington,Paul King,FALSE,bafta-basp.csv
2015,The Big Short,Adam McKay and Charles Randolph,TRUE,bafta-basp.csv
2015,Brooklyn,Nick Hornby,FALSE,bafta-basp.csv
2015,Carol,Phyllis Nagy,FALSE,bafta-basp.csv
2015,Room,Emma Donoghue,FALSE,bafta-basp.csv
2015,Steve Jobs,Aaron Sorkin,FALSE,bafta-basp.csv
2016,Lion,Luke Davies,TRUE,bafta-basp.csv
2016,Arrival,Eric Heisserer,FALSE,bafta-basp.csv
2016,Hacksaw Ridge,Andrew Knight and Robert Schenkkan,FALSE,bafta-basp.csv
2016,Hidden Figures,Allison Schroeder and Theodore Melfi,FALSE,bafta-basp.csv
2016,Nocturnal Animals,Tom Ford,FALSE,bafta-basp.csv
2017,Call Me by Your Name,James Ivory,TRUE,bafta-basp.csv
2017,The Death of Stalin,"Armando Iannucci, Ian Martin, and David Schneider",FALSE,bafta-basp.csv
