Year,Film,Nominee,Winner
2006,The Devil Wears Prada,Aline Brosh McKenna,FALSE
2006,Notes on a Scandal,Patrick Marber,FALSE
2007,The Diving Bell and the Butterfly,Ronald Harwood,TRUE
2007,Atonement,Christopher Hampton,FALSE
2007,The Kite Runner,David Benioff,FALSE
2007,No Country for Old Men,Joel Coen and Ethan Coen,FALSE
2007,There Will Be Blood,Paul Thomas Anderson,FALSE
2008,Slumdog Millionaire,Simon Beaufoy,TRUE
2008,The Curious Case of Benjamin Button,Eric Roth,FALSE
2008,Frost/Nixon,Peter Morgan,FALSE
2008,The Reader,David Hare,FALSE
2008,Revolutionary Road,Justin Haythe,FALSE
2009,Up in the Air,Jason Reitman and Sheldon Turner,TRUE
2009,District 9,Neill Blomkamp and Terri Tatchell,FALSE
2009,An Education,Nick Hornby,FALSE
2009,In the Loop,"Simon Blackwell, Jesse Armstrong, Armando Iannucci, and Tony Roche",FALSE
2009,Precious,Geoffrey Fletcher,FALSE
2010,The Social Network,Aaron Sorkin,TRUE
2010,127 Hours,Danny Boyle and Simon Beaufoy,FALSE
2010,The Girl with the Dragon Tattoo,Rasmus Heisterberg and Nikolaj Arcel,FALSE
2010,Toy Story 3,Michael Arndt,FALSE
2010,True Grit,Joel Coen and Ethan Coen,FALSE
2011,Tinker Tailor Soldier Spy,Bridget O'Connor and Peter Straughan,TRUE
2011,The Descendants,"Alexander Payne, Nat Faxon, and Jim Rash",FALSE
2011,The Help,Tate Taylor,FALSE
2011,The Ides of March,"George Clooney, Beau Willimon, and Grant Heslov",FALSE
2011,Moneyball,Steven Zaillian and Aaron Sorkin,FALSE
2012,Silver Linings Playbook,David O. Russell,TRUE
2012,Argo,Chris Terrio,FALSE
2012,Beasts of the Southern Wild,Lucy Alibar and Benh Zeitlin,FALSE
2012,Life of Pi,David Magee,FALSE
2012,Lincoln,Tony Kushner,FALSE
2013,Philomena,Steve Coogan and Jeff Pope,TRUE
2013,12 Years a Slave,John Ridley,FALSE
2013,Behind the Candelabra,Richard LaGravenese,FALSE
2013,Captain Phillips,Billy Ray,FALSE
2013,The Wolf of Wall Street,Terence Winter,FALSE
2014,The Theory of Everything,Anthony McCarten,TRUE
2014,American Sniper,Jason Hall,FALSE
2014,Gone Girl,Gillian Flynn,FALSE
2014,The Imitation Game,Graham Moore,FALSE
2014,Paddington,Paul King,FALSE
2015,The Big Short,Adam McKay and Charles Randolph,TRUE
2015,Brooklyn,Nick Hornby,FALSE
2015,Carol,Phyllis Nagy,FALSE
2015,Room,Emma Donoghue,FALSE
2015,Steve Jobs,Aaron Sorkin,FALSE
2016,Lion,Luke Davies,TRUE
2016,Arrival,Eric Heisserer,FALSE
2016,Hacksaw Ridge,Andrew Knight and Robert Schenkkan,FALSE
2016,Hidden Figures,Allison Schroeder and Theodore Melfi,FALSE
2016,Nocturnal Animals,Tom Ford,FALSE
2017,Call Me by Your Name,James Ivory,TRUE
2017,The Death of Stalin,"Armando Iannucci, Ian Martin, and David Schneider",FALSE
2017,Film Stars Don't Die in Liverpool,Matt Greenhalgh,FALSE
2017,Molly's Game,Aaron Sorkin,FALSE
2017,Paddington 2,Simon Farnaby and Paul King,FALSE
2018,BlacKkKlansman,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, and Spike Lee",TRUE
2018,Can You Ever Forgive Me?,Nicole Holofcener and Jeff Whitty,FALSE
2018,First Man,Josh Singer,FALSE
2018,If Beale Street Could Talk,Barry Jenkins,FALSE
2018,A Star Is Born,"Eric Roth, Bradley Cooper, and Will Fetters",FALSE
2019,Jojo Rabbit,Taika Waititi,TRUE
2019,The Irishman,Steven Zaillian,FALSE
2019,Joker,Todd Phillips and Scott Silver,FALSE
2019,Little Women,Greta Gerwig,FALSE
2019,The Two Popes,Anthony McCarten,FALSE
2020,The Father,Christopher Hampton and Florian Zeller,TRUE
2020,The Dig,Moira Buffini,FALSE
2020,The Mauritanian,"Rory Haines, Sohrab Noshirvani, and M.B. Traven",FALSE
2020,Nomadland,Chloé Zhao,FALSE
2020,The White Tiger,Ramin Bahrani,FALSE
2021,CODA,Sian Heder,TRUE
2021,Drive My Car,Ryusuke Hamaguchi and Takamasa Oe,FALSE
2021,Dune,"Eric Roth, Jon Spaihts, and Denis Villeneuve",FALSE
2021,The Lost Daughter,Maggie Gyllenhaal,FALSE
2021,The Power of the Dog,Jane Campion,FALSE
2022,All Quiet on the Western Front,"Edward Berger, Lesley Paterson, and Ian Stokell",TRUE
2022,Living,Kazuo Ishiguro,FALSE
2022,The Quiet Girl,Colm Bairéad,FALSE
2022,She Said,Rebecca Lenkiewicz,FALSE
2022,The Whale,Samuel D. Hunter,FALSE
2023,American Fiction,Cord Jefferson,TRUE
2023,All of Us Strangers,Andrew Haigh,FALSE
2023,Oppenheimer,Christopher Nolan,FALSE
2023,Poor Things,Tony McNamara,FALSE
2023,The Zone of Interest,Jonathan Glazer,FALSE
2024,Conclave,Peter Straughan,TRUE
2024,A Complete Unknown,James Mangold and Jay Cocks,FALSE
2024,Emilia Pérez,Jacques Audiard,FALSE
2024,Nickel Boys,RaMell Ross and Joslyn Barnes,FALSE
2024,Sing Sing,"Clint Bentley, Greg Kwedar, Clarence 'Divine Eye' Maclin, and John 'Divine G' Whitfield",FALSE
