Year,Film,Nominee,Winner
1960,Can-Can,Walter Lang,FALSE
1960,The Dark at the Top of the Stairs,Delbert Mann,FALSE
1960,Our Man in Havana,Carol Reed,FALSE
1960,Hiroshima mon amour,Alain Resnais,FALSE
1960,Please Don't Eat the Daisies,Charles Walters,FALSE
1960,Psycho,Alfred Hitchcock,FALSE
1961,West Side Story,Robert Wise and Jerome Robbins,TRUE
1961,One-Eyed Jacks,Marlon Brando,FALSE
1961,Pocketful of Miracles,Frank Capra,FALSE
1961,The Innocents,Jack Clayton,FALSE
1961,Summer and Smoke,Peter Glenville,FALSE
1961,The Misfits,John Huston,FALSE
1961,Splendor in the Grass,Elia Kazan,FALSE
1961,Flower Drum Song,Henry Koster,FALSE
1961,Judgment at Nuremberg,Stanley Kramer,FALSE
1961,Hand in Hand,Philip Leacock,FALSE
1961,A Majority of One,Mervyn LeRoy,FALSE
1961,Fanny,Joshua Logan,FALSE
1961,El Cid,Anthony Mann,FALSE
1961,The Great Impostor,Robert Mulligan,FALSE
1961,A Raisin in the Sun,Daniel Petrie,FALSE
1961,The Absent-Minded Professor,Robert Stevenson,FALSE
1961,Romanoff and Juliet,Peter Ustinov,FALSE
1961,The Children's Hour,William Wyler,FALSE
1962,Lawrence of Arabia,David Lean,TRUE
1962,What Ever Happened to Baby Jane?,Robert Aldrich,FALSE
1962,The Music Man,Morton DaCosta,FALSE
1962,Lolita,Stanley Kubrick,FALSE
1962,Mutiny on the Bounty,Lewis Milestone,FALSE
1962,To Kill a Mockingbird,Robert Mulligan,FALSE
1962,Requiem for a Heavyweight,Ralph Nelson,FALSE
1962,The Miracle Worker,Arthur Penn,FALSE
1962,A Taste of Honey,Tony Richardson,FALSE
1963,Tom Jones,Tony Richardson,TRUE
1963,8½,Federico Fellini,FALSE
1963,America America,Elia Kazan,FALSE
1963,Lilies of the Field,Ralph Nelson,FALSE
1963,Hud,Martin Ritt,FALSE
1964,My Fair Lady,George Cukor,TRUE
1964,Becket,Peter Glenville,FALSE
1964,The Night of the Iguana,John Huston,FALSE
1964,Dr. Strangelove,Stanley Kubrick,FALSE
1964,Mary Poppins,Robert Stevenson,FALSE
1965,The Sound of Music,Robert Wise,TRUE
1965,The Ipcress File,Sidney J. Furie,FALSE
1965,The Pawnbroker,Sidney Lumet,FALSE
1965,Darling,John Schlesinger,FALSE
1965,Cat Ballou,Elliot Silverstein,FALSE
1966,A Man for All Seasons,Fred Zinnemann,TRUE
1966,The Professionals,Richard Brooks,FALSE
1966,Grand Prix,John Frankenheimer,FALSE
1966,Alfie,Lewis Gilbert,FALSE
1966,Born Free,James Hill,FALSE
1966,"The Russians Are Coming, the Russians Are Coming",Norman Jewison,FALSE
1966,A Man and a Woman,Claude Lelouch,FALSE
1966,Georgy Girl,Silvio Narizzano,FALSE
1966,Who's Afraid of Virginia Woolf?,Mike Nichols,FALSE
1966,The Sand Pebbles,Robert Wise,FALSE
1967,The Graduate,Mike Nichols,TRUE
1967,The Dirty Dozen,Robert Aldrich,FALSE
1967,In Cold Blood,Richard Brooks,FALSE
1967,"To Sir, with Love",James Clavell,FALSE
1967,Two for the Road,Stanley Donen,FALSE
1967,In the Heat of the Night,Norman Jewison,FALSE
1967,Guess Who's Coming to Dinner,Stanley Kramer,FALSE
1967,Bonnie and Clyde,Arthur Penn,FALSE
1967,Cool Hand Luke,Stuart Rosenberg,FALSE
1967,Ulysses,Joseph Strick,FALSE
1968,The Lion in Winter,Anthony Harvey,TRUE
1968,Isabel,Paul Almond,FALSE
1968,2001: A Space Odyssey,Stanley Kubrick,FALSE
1968,Closely Watched Trains,Jiří Menzel,FALSE
1968,"Rachel, Rachel",Paul Newman,FALSE
1968,Rosemary's Baby,Roman Polanski,FALSE
1968,Oliver!,Carol Reed,FALSE
1968,The Odd Couple,Gene Saks,FALSE
1968,Funny Girl,William Wyler,FALSE
1968,Romeo and Juliet,Franco Zeffirelli,FALSE
1969,Midnight Cowboy,John Schlesinger,TRUE
1969,Oh! What a Lovely War,Richard Attenborough,FALSE
1969,Z,Costa-Gavras,FALSE
1969,Butch Cassidy and the Sundance Kid,George Roy Hill,FALSE
1969,Easy Rider,Dennis Hopper,FALSE
1969,"Hello, Dolly!",Gene Kelly,FALSE
1969,The Wild Bunch,Sam Peckinpah,FALSE
1969,"Goodbye, Columbus",Larry Peerce,FALSE
1969,"They Shoot Horses, Don't They?",Sydney Pollack,FALSE
1969,Medium Cool,Haskell Wexler,FALSE
1970,Patton,Franklin J. Schaffner,TRUE
1970,M*A*S*H,Robert Altman,FALSE
1970,Love Story,Arthur Hiller,FALSE
1970,Ryan's Daughter,David Lean,FALSE
1970,Five Easy Pieces,Bob Rafelson,FALSE
1971,The French Connection,William Friedkin,TRUE
1971,The Last Picture Show,Peter Bogdanovich,FALSE
1971,A Clockwork Orange,Stanley Kubrick,FALSE
1971,Summer of '42,Robert Mulligan,FALSE
1971,Sunday Bloody Sunday,John Schlesinger,FALSE
1972,The Godfather,Francis Ford Coppola,TRUE
1972,Deliverance,John Boorman,FALSE
1972,Cabaret,Bob Fosse,FALSE
1972,Slaughterhouse-Five,George Roy Hill,FALSE
1972,Sounder,Martin Ritt,FALSE
1973,The Sting,George Roy Hill,TRUE
1973,Last Tango in Paris,Bernardo Bertolucci,FALSE
1973,The Exorcist,William Friedkin,FALSE
1973,American Graffiti,George Lucas,FALSE
1973,Serpico,Sidney Lumet,FALSE
1974,The Godfather Part II,Francis Ford Coppola,TRUE
1974,The Conversation,Francis Ford Coppola,FALSE
1974,Lenny,Bob Fosse,FALSE
